Id,old_name,new_name,old_loss_reason,new_loss_reason
006WR00000SoRGDYA3,GREATER OMAHA REFRIG - COMMERCIAL 1G,Greater Omaha Refrig - Commercial 1G,,Other
006WR00000UQj0FYAT,OUTSOURCE ONE - SMB 1G,Outsource One - SMB 1G,,Other
