SF_Id,Name,Object,Field,Before,After,Source,Action,Timestamp
a0BWR0000083yLa2AI,AGR-0585,Agreement__c,*record*,"{""Id"": ""a0BWR0000083yLa2AI"", ""Name"": ""AGR-0585"", ""Opportunity__c"": ""006WR00000wkDuYYAU"", ""Opportunity__r"": {""attributes"": {""type"": ""Opportunity"", ""url"": ""/services/data/v59.0/sobjects/Opportunity/006WR00000wkDuYYAU""}, ""Name"": ""Lord Tennyson""}, ""Status__c"": ""Review"", ""Agreement_Type__c"": ""EMA"", ""Signed_Date__c"": null, ""IronClad_ID__c"": null, ""IronClad_Stage__c"": null, ""CreatedDate"": ""2026-03-24T15:26:05.000+0000"", ""LastModifiedDate"": ""2026-03-24T15:26:05.000+0000"", ""Notes__c"": null}",(would be deleted),TM_review_2026-05-04,DryRun-Delete,2026-05-07T11:48:48.549623
a0BWR0000083yLb2AI,AGR-0586,Agreement__c,*record*,"{""Id"": ""a0BWR0000083yLb2AI"", ""Name"": ""AGR-0586"", ""Opportunity__c"": ""006WR00000wkDuYYAU"", ""Opportunity__r"": {""attributes"": {""type"": ""Opportunity"", ""url"": ""/services/data/v59.0/sobjects/Opportunity/006WR00000wkDuYYAU""}, ""Name"": ""Lord Tennyson""}, ""Status__c"": ""Review"", ""Agreement_Type__c"": ""Bulk"", ""Signed_Date__c"": null, ""IronClad_ID__c"": null, ""IronClad_Stage__c"": null, ""CreatedDate"": ""2026-03-24T15:26:05.000+0000"", ""LastModifiedDate"": ""2026-03-24T15:26:05.000+0000"", ""Notes__c"": null}",(would be deleted),TM_review_2026-05-04,DryRun-Delete,2026-05-07T11:48:48.549623
a0BWR0000083yLd2AI,AGR-0588,Agreement__c,*record*,"{""Id"": ""a0BWR0000083yLd2AI"", ""Name"": ""AGR-0588"", ""Opportunity__c"": ""006WR00000wkDuZYAU"", ""Opportunity__r"": {""attributes"": {""type"": ""Opportunity"", ""url"": ""/services/data/v59.0/sobjects/Opportunity/006WR00000wkDuZYAU""}, ""Name"": ""Crenshaw Manor""}, ""Status__c"": ""Review"", ""Agreement_Type__c"": ""EMA"", ""Signed_Date__c"": null, ""IronClad_ID__c"": null, ""IronClad_Stage__c"": null, ""CreatedDate"": ""2026-03-24T15:26:05.000+0000"", ""LastModifiedDate"": ""2026-03-24T15:26:05.000+0000"", ""Notes__c"": null}",(would be deleted),TM_review_2026-05-04,DryRun-Delete,2026-05-07T11:48:48.549623
a0BWR0000083yLe2AI,AGR-0589,Agreement__c,*record*,"{""Id"": ""a0BWR0000083yLe2AI"", ""Name"": ""AGR-0589"", ""Opportunity__c"": ""006WR00000wkDuZYAU"", ""Opportunity__r"": {""attributes"": {""type"": ""Opportunity"", ""url"": ""/services/data/v59.0/sobjects/Opportunity/006WR00000wkDuZYAU""}, ""Name"": ""Crenshaw Manor""}, ""Status__c"": ""Review"", ""Agreement_Type__c"": ""Bulk"", ""Signed_Date__c"": null, ""IronClad_ID__c"": null, ""IronClad_Stage__c"": null, ""CreatedDate"": ""2026-03-24T15:26:05.000+0000"", ""LastModifiedDate"": ""2026-03-24T15:26:05.000+0000"", ""Notes__c"": null}",(would be deleted),TM_review_2026-05-04,DryRun-Delete,2026-05-07T11:48:48.549623
a0BWR0000083yLg2AI,AGR-0591,Agreement__c,*record*,"{""Id"": ""a0BWR0000083yLg2AI"", ""Name"": ""AGR-0591"", ""Opportunity__c"": ""006WR00000wkDuaYAE"", ""Opportunity__r"": {""attributes"": {""type"": ""Opportunity"", ""url"": ""/services/data/v59.0/sobjects/Opportunity/006WR00000wkDuaYAE""}, ""Name"": ""Columbia Apartments""}, ""Status__c"": ""Review"", ""Agreement_Type__c"": ""EMA"", ""Signed_Date__c"": null, ""IronClad_ID__c"": null, ""IronClad_Stage__c"": null, ""CreatedDate"": ""2026-03-24T15:26:05.000+0000"", ""LastModifiedDate"": ""2026-03-24T15:26:05.000+0000"", ""Notes__c"": null}",(would be deleted),TM_review_2026-05-04,DryRun-Delete,2026-05-07T11:48:48.549623
a0BWR0000083yLh2AI,AGR-0592,Agreement__c,*record*,"{""Id"": ""a0BWR0000083yLh2AI"", ""Name"": ""AGR-0592"", ""Opportunity__c"": ""006WR00000wkDuaYAE"", ""Opportunity__r"": {""attributes"": {""type"": ""Opportunity"", ""url"": ""/services/data/v59.0/sobjects/Opportunity/006WR00000wkDuaYAE""}, ""Name"": ""Columbia Apartments""}, ""Status__c"": ""Review"", ""Agreement_Type__c"": ""Bulk"", ""Signed_Date__c"": null, ""IronClad_ID__c"": null, ""IronClad_Stage__c"": null, ""CreatedDate"": ""2026-03-24T15:26:05.000+0000"", ""LastModifiedDate"": ""2026-03-24T15:26:05.000+0000"", ""Notes__c"": null}",(would be deleted),TM_review_2026-05-04,DryRun-Delete,2026-05-07T11:48:48.549623
a0BWR0000083yLj2AI,AGR-0594,Agreement__c,*record*,"{""Id"": ""a0BWR0000083yLj2AI"", ""Name"": ""AGR-0594"", ""Opportunity__c"": ""006WR00000wkDubYAE"", ""Opportunity__r"": {""attributes"": {""type"": ""Opportunity"", ""url"": ""/services/data/v59.0/sobjects/Opportunity/006WR00000wkDubYAE""}, ""Name"": ""Windfaire Apartments""}, ""Status__c"": ""Review"", ""Agreement_Type__c"": ""EMA"", ""Signed_Date__c"": null, ""IronClad_ID__c"": null, ""IronClad_Stage__c"": null, ""CreatedDate"": ""2026-03-24T15:26:05.000+0000"", ""LastModifiedDate"": ""2026-03-24T15:26:05.000+0000"", ""Notes__c"": null}",(would be deleted),TM_review_2026-05-04,DryRun-Delete,2026-05-07T11:48:48.549623
a0BWR0000083yLk2AI,AGR-0595,Agreement__c,*record*,"{""Id"": ""a0BWR0000083yLk2AI"", ""Name"": ""AGR-0595"", ""Opportunity__c"": ""006WR00000wkDubYAE"", ""Opportunity__r"": {""attributes"": {""type"": ""Opportunity"", ""url"": ""/services/data/v59.0/sobjects/Opportunity/006WR00000wkDubYAE""}, ""Name"": ""Windfaire Apartments""}, ""Status__c"": ""Review"", ""Agreement_Type__c"": ""Bulk"", ""Signed_Date__c"": null, ""IronClad_ID__c"": null, ""IronClad_Stage__c"": null, ""CreatedDate"": ""2026-03-24T15:26:05.000+0000"", ""LastModifiedDate"": ""2026-03-24T15:26:05.000+0000"", ""Notes__c"": null}",(would be deleted),TM_review_2026-05-04,DryRun-Delete,2026-05-07T11:48:48.549623
a0BWR0000083yLm2AI,AGR-0597,Agreement__c,*record*,"{""Id"": ""a0BWR0000083yLm2AI"", ""Name"": ""AGR-0597"", ""Opportunity__c"": ""006WR00000wkDucYAE"", ""Opportunity__r"": {""attributes"": {""type"": ""Opportunity"", ""url"": ""/services/data/v59.0/sobjects/Opportunity/006WR00000wkDucYAE""}, ""Name"": ""Woodbury Place Apartments""}, ""Status__c"": ""Review"", ""Agreement_Type__c"": ""EMA"", ""Signed_Date__c"": null, ""IronClad_ID__c"": null, ""IronClad_Stage__c"": null, ""CreatedDate"": ""2026-03-24T15:26:05.000+0000"", ""LastModifiedDate"": ""2026-03-24T15:26:05.000+0000"", ""Notes__c"": null}",(would be deleted),TM_review_2026-05-04,DryRun-Delete,2026-05-07T11:48:48.549623
a0BWR0000083yLn2AI,AGR-0598,Agreement__c,*record*,"{""Id"": ""a0BWR0000083yLn2AI"", ""Name"": ""AGR-0598"", ""Opportunity__c"": ""006WR00000wkDucYAE"", ""Opportunity__r"": {""attributes"": {""type"": ""Opportunity"", ""url"": ""/services/data/v59.0/sobjects/Opportunity/006WR00000wkDucYAE""}, ""Name"": ""Woodbury Place Apartments""}, ""Status__c"": ""Review"", ""Agreement_Type__c"": ""Bulk"", ""Signed_Date__c"": null, ""IronClad_ID__c"": null, ""IronClad_Stage__c"": null, ""CreatedDate"": ""2026-03-24T15:26:05.000+0000"", ""LastModifiedDate"": ""2026-03-24T15:26:05.000+0000"", ""Notes__c"": null}",(would be deleted),TM_review_2026-05-04,DryRun-Delete,2026-05-07T11:48:48.549623
