SF_Id,Agreement_Name,Field,Before,After,Source,Action,Timestamp
a0BWR000008AxYT2A0,AGR-1327,Status__c,Completed,Completed,ironclad_export_2026-06-24_162452_all (IC-2272),PREVIEW,2026-06-24T09:29:29.158069
a0BWR000008AxYT2A0,AGR-1327,Signed_Date__c,2026-02-23,2026-01-26,ironclad_export_2026-06-24_162452_all (IC-2272),PREVIEW,2026-06-24T09:29:29.158087
a0BWR000008Axa52AC,AGR-1328,Status__c,Completed,Completed,ironclad_export_2026-06-24_162452_all (IC-2278),PREVIEW,2026-06-24T09:29:29.158097
a0BWR000008Axa52AC,AGR-1328,Signed_Date__c,2026-01-27,2026-01-26,ironclad_export_2026-06-24_162452_all (IC-2278),PREVIEW,2026-06-24T09:29:29.158106
a0BWR000008AxdJ2AS,AGR-1330,Status__c,Completed,Completed,ironclad_export_2026-06-24_162452_all (IC-2679),PREVIEW,2026-06-24T09:29:29.158113
a0BWR000008AxdJ2AS,AGR-1330,Signed_Date__c,2026-02-11,2026-02-04,ironclad_export_2026-06-24_162452_all (IC-2679),PREVIEW,2026-06-24T09:29:29.158120
a0BWR000008Axrp2AC,AGR-1340,Status__c,Completed,Completed,ironclad_export_2026-06-24_162452_all (IC-2656),PREVIEW,2026-06-24T09:29:29.158127
a0BWR000008Axrp2AC,AGR-1340,Signed_Date__c,2026-03-31,2026-02-01,ironclad_export_2026-06-24_162452_all (IC-2656),PREVIEW,2026-06-24T09:29:29.158133
a0BWR000008AxyH2AS,AGR-1344,Status__c,Completed,Completed,ironclad_export_2026-06-24_162452_all (IC-2659),PREVIEW,2026-06-24T09:29:29.158139
a0BWR000008AxyH2AS,AGR-1344,Signed_Date__c,2026-03-31,2026-02-01,ironclad_export_2026-06-24_162452_all (IC-2659),PREVIEW,2026-06-24T09:29:29.158145
a0BWR000008Ay4j2AC,AGR-1348,Status__c,Completed,Cancelled,ironclad_export_2026-06-24_162452_all (IC-2108),PREVIEW,2026-06-24T09:29:29.158151
a0BWR000008Ay4j2AC,AGR-1348,Signed_Date__c,2026-02-07,,ironclad_export_2026-06-24_162452_all (IC-2108),PREVIEW,2026-06-24T09:29:29.158157
a0BWR000008Ay6L2AS,AGR-1349,Status__c,Completed,Completed,ironclad_export_2026-06-24_162452_all (IC-1817),PREVIEW,2026-06-24T09:29:29.158164
a0BWR000008Ay6L2AS,AGR-1349,Signed_Date__c,2025-11-28,2025-11-18,ironclad_export_2026-06-24_162452_all (IC-1817),PREVIEW,2026-06-24T09:29:29.158169
a0BWR000008Ay7x2AC,AGR-1350,Status__c,Completed,Completed,ironclad_export_2026-06-24_162452_all (IC-2666),PREVIEW,2026-06-24T09:29:29.158175
a0BWR000008Ay7x2AC,AGR-1350,Signed_Date__c,2026-02-07,2026-02-02,ironclad_export_2026-06-24_162452_all (IC-2666),PREVIEW,2026-06-24T09:29:29.158181
a0BWR000008Ay9Z2AS,AGR-1351,Status__c,Completed,Completed,ironclad_export_2026-06-24_162452_all (IC-1808),PREVIEW,2026-06-24T09:29:29.158187
a0BWR000008Ay9Z2AS,AGR-1351,Signed_Date__c,2025-12-09,2025-11-13,ironclad_export_2026-06-24_162452_all (IC-1808),PREVIEW,2026-06-24T09:29:29.158193
a0BWR000008AyEP2A0,AGR-1354,Status__c,Completed,Completed,ironclad_export_2026-06-24_162452_all (IC-2293),PREVIEW,2026-06-24T09:29:29.158199
a0BWR000008AyEP2A0,AGR-1354,Signed_Date__c,2026-01-30,2026-01-28,ironclad_export_2026-06-24_162452_all (IC-2293),PREVIEW,2026-06-24T09:29:29.158205
a0BWR000008AyHd2AK,AGR-1358,Status__c,Completed,Completed,ironclad_export_2026-06-24_162452_all (IC-2115),PREVIEW,2026-06-24T09:29:29.158210
a0BWR000008AyHd2AK,AGR-1358,Signed_Date__c,2026-02-03,2025-12-23,ironclad_export_2026-06-24_162452_all (IC-2115),PREVIEW,2026-06-24T09:29:29.158217
a0BWR000008AyJF2A0,AGR-1359,Status__c,Completed,Completed,ironclad_export_2026-06-24_162452_all (IC-2727),PREVIEW,2026-06-24T09:29:29.158222
a0BWR000008AyJF2A0,AGR-1359,Signed_Date__c,2026-02-23,2026-02-12,ironclad_export_2026-06-24_162452_all (IC-2727),PREVIEW,2026-06-24T09:29:29.158228
