Id,Name,Agreement_Name__c,old_category,new_category,result
006WR00000wiNonYAE,Wyndham Villas - Broadmoor,Omaha_MDU_Wyndham Villas by Broadmoor,,Cat 1,OK
006WR00000wjnlKYAQ,Tremont Sr Apartment Homes,,,Cat 1,OK
006WR00000wjnlLYAQ,Ridge Point,,,Cat 1,OK
006WR00000wk1FYYAY,30 Metro,,,Cat 1,OK
006WR00000wk9RxYAI,Hazel Park,HARKER HEIGHTS_MDU_Hazel Park,,Cat 1,OK
006WR00000wk9SqYAI,Hunter's Glen Apartments,,,Cat 1,OK
006WR00000wk9TuYAI,302 North,,,Cat 1,OK
006WR00000wkA6yYAE,Irvington Heights,,Cat 2,Cat 1,OK
006WR00000wkA8gYAE,Hillside Park Apartments,Omaha_MDU_Hillside Park Apartments,,Cat 1,OK
006WR00000wkA9KYAU,River Oaks Apartments,Killeen_MDU_River Oaks Apartments,,Cat 1,OK
006WR00000wkClBYAU,Belterra,Fort Worth_MDU_Belterra,,Cat 1,OK
006WR00000wkClZYAU,Paloma Village,Fort Worth_MDU_Paloma Village,,Cat 1,OK
006WR00000wkDM7YAM,Garden Gate Apartments,Fort Worth_MDU_Garden Gate Apartments,,Cat 1,OK
006WR00000wkDMGYA2,North Park Landing Apartments,Fort Worth_MDU_North Park Landing Apartments,,Cat 1,OK
006WR00000wkDsJYAU,Courtyard 72,,Cat 2,Cat 1,OK
006WR00000wkDsvYAE,Park_Place (Care Center),Georgetown_MDU_Park_Place,,Cat 1,OK
006WR00000wkDtWYAU,GEORGETOWN_MDU_101_FM971 AKA Vered at San Gabriel,GEORGETOWN_MDU_101_FM971,,Cat 1,OK
006WR00000wkEzfYAE,Bell Presidio,,,Cat 1,OK
006WR00000wkEzgYAE,SageStone Village,,,Cat 1,OK
006WR00000wkEzhYAE,SageWater Village,,,Cat 1,OK
006WR00000wkEzmYAE,Alleia at Presidio,,,Cat 1,OK
006WR00000wkEzyYAE,Magnolia on Oak Street,Roanoke_MDU_Magnolia on Oak Street,Cat 2,Cat 1,OK
006WR00000xtwz7YAA,Omaha_MDU_Redman Plz,Omaha_MDU_Redman Plz,,Cat 1,OK
006WR00000xuAVsYAM,Killeen_MDU_505 Utah St,KILLEEN_MDU_505 UTAH ST,,Cat 1,OK
006WR00000xuM3zYAE,Taylor_MDU_Dahlberg,Taylor_MDU_Dahlberg,,Cat 1,OK
006WR00000xuPxsYAE,Omaha_MDU_4723-4725-4727 Cass St,Omaha_MDU_4723-4725-4727 Cass St,,Cat 1,OK
006WR00000xuU9cYAE,Killeen_MDU_Versailles North,Killeen_MDU_Versailles North,,Cat 1,OK
