SF_Id,Name,Action,Field,Before,After,Opp,Source,Result,Timestamp
006WR00000wkEaQYAU,Woodland Trio The Oaks,SET_ACCOUNT,AccountId,,Jones & Jones Communities,Woodland Trio The Oaks,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx,preview,2026-06-11T08:06:20.232544
006WR00000wkEaRYAU,Baldwin Manor,SET_ACCOUNT,AccountId,,Jones & Jones Communities,Baldwin Manor,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx,preview,2026-06-11T08:06:20.232572
006WR00000wkEaSYAU,White Oak Terrace,SET_ACCOUNT,AccountId,,Jones & Jones Communities,White Oak Terrace,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx,preview,2026-06-11T08:06:20.232586
006WR00000wkEaTYAU,Bali Apartments,SET_ACCOUNT,AccountId,,Jones & Jones Communities,Bali Apartments,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx,preview,2026-06-11T08:06:20.232597
006WR00000wkEaUYAU,Corbett Avenue Apartments,SET_ACCOUNT,AccountId,,Jones & Jones Communities,Corbett Avenue Apartments,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx,preview,2026-06-11T08:06:20.232608
006WR00000wkEaVYAU,Chatsworth Plaza,SET_ACCOUNT,AccountId,,Jones & Jones Communities,Chatsworth Plaza,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx,preview,2026-06-11T08:06:20.232619
006WR00000wkEaWYAU,John Manor,SET_ACCOUNT,AccountId,,Jones & Jones Communities,John Manor,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx,preview,2026-06-11T08:06:20.232630
006WR00000wkEaXYAU,Casa Linda,SET_ACCOUNT,AccountId,,Jones & Jones Communities,Casa Linda,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx,preview,2026-06-11T08:06:20.232640
006WR00000wkEaYYAU,Windsor Manor,SET_ACCOUNT,AccountId,,Jones & Jones Communities,Windsor Manor,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx,preview,2026-06-11T08:06:20.232650
006WR00000wkEaZYAU,Coliseum Apartments,SET_ACCOUNT,AccountId,,Jones & Jones Communities,Coliseum Apartments,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx,preview,2026-06-11T08:06:20.232660
006WR00000wkEaaYAE,Colonial Manor Apartments,SET_ACCOUNT,AccountId,,Jones & Jones Communities,Colonial Manor Apartments,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx,preview,2026-06-11T08:06:20.232670
006WR00000wkEabYAE,San Vicente Apartments,SET_ACCOUNT,AccountId,,Jones & Jones Communities,San Vicente Apartments,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx,preview,2026-06-11T08:06:20.232681
006WR00000wkEacYAE,St. Andrews Manor,SET_ACCOUNT,AccountId,,Jones & Jones Communities,St. Andrews Manor,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx,preview,2026-06-11T08:06:20.232692
006WR00000wkEadYAE,Krystal Terrace,SET_ACCOUNT,AccountId,,Jones & Jones Communities,Krystal Terrace,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx,preview,2026-06-11T08:06:20.232703
006WR00000wkEaeYAE,Parkway Terrace,SET_ACCOUNT,AccountId,,Jones & Jones Communities,Parkway Terrace,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx,preview,2026-06-11T08:06:20.232713
006WR00000wkEafYAE,Kling Trio Apartments,SET_ACCOUNT,AccountId,,Jones & Jones Communities,Kling Trio Apartments,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx,preview,2026-06-11T08:06:20.232723
006WR00000wkEagYAE,Jaclyn Terrace,SET_ACCOUNT,AccountId,,Jones & Jones Communities,Jaclyn Terrace,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx,preview,2026-06-11T08:06:20.232733
006WR00000wkEahYAE,Brody Terrace (Riverside),SET_ACCOUNT,AccountId,,Jones & Jones Communities,Brody Terrace (Riverside),Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx,preview,2026-06-11T08:06:20.232745
006WR00000wkEaiYAE,Parkview Terrace,SET_ACCOUNT,AccountId,,Jones & Jones Communities,Parkview Terrace,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx,preview,2026-06-11T08:06:20.232755
006WR00000wkEajYAE,Roxanne Apartments,SET_ACCOUNT,AccountId,,Jones & Jones Communities,Roxanne Apartments,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx,preview,2026-06-11T08:06:20.232773
006WR00000wkEakYAE,Riverside Villa Apartments,SET_ACCOUNT,AccountId,,Jones & Jones Communities,Riverside Villa Apartments,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx,preview,2026-06-11T08:06:20.232784
006WR00000wkEalYAE,The Banyans,SET_ACCOUNT,AccountId,,Jones & Jones Communities,The Banyans,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx,preview,2026-06-11T08:06:20.232795
006WR00000wkEamYAE,Topanga Apartments,SET_ACCOUNT,AccountId,,Jones & Jones Communities,Topanga Apartments,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx,preview,2026-06-11T08:06:20.232804
006WR00000wkEanYAE,Topanga Terrace,SET_ACCOUNT,AccountId,,Jones & Jones Communities,Topanga Terrace,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx,preview,2026-06-11T08:06:20.232815
006WR00000wkEaoYAE,Vista Apartments,SET_ACCOUNT,AccountId,,Jones & Jones Communities,Vista Apartments,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx,preview,2026-06-11T08:06:20.232825
006WR00000wkEapYAE,The Palms,SET_ACCOUNT,AccountId,,Jones & Jones Communities,The Palms,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx,preview,2026-06-11T08:06:20.232835
006WR00000wkEbIYAU,First Casa De Marina,SET_ACCOUNT,AccountId,,Jones & Jones Communities,First Casa De Marina,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx,preview,2026-06-11T08:06:20.232845
006WR00000wkEbJYAU,Lombardi Apartments,SET_ACCOUNT,AccountId,,Jones & Jones Communities,Lombardi Apartments,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx,preview,2026-06-11T08:06:20.232856
006WR00000wkEbKYAU,The Meadows at Westlake Village,SET_ACCOUNT,AccountId,,Jones & Jones Communities,The Meadows at Westlake Village,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx,preview,2026-06-11T08:06:20.232866
006WR00000wkEbLYAU,Brookside Terrace Apartments,SET_ACCOUNT,AccountId,,Jones & Jones Communities,Brookside Terrace Apartments,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx,preview,2026-06-11T08:06:20.232877
a0BWR0000083yOs2AI,AGR-0789,SET_PAL_FIELD,IronClad_ID__c,,IC-1152,Woodland Trio The Oaks,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx,preview,2026-06-11T08:06:20.232897
a0BWR0000083yOs2AI,AGR-0789,SET_PAL_FIELD,Expiration_Date__c,,2043-11-01,Woodland Trio The Oaks,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx,preview,2026-06-11T08:06:20.232911
a0BWR0000083yOv2AI,AGR-0792,SET_PAL_FIELD,IronClad_ID__c,,IC-1152,Baldwin Manor,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx,preview,2026-06-11T08:06:20.232925
a0BWR0000083yOv2AI,AGR-0792,SET_PAL_FIELD,Expiration_Date__c,,2043-11-01,Baldwin Manor,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx,preview,2026-06-11T08:06:20.232935
a0BWR0000083yOy2AI,AGR-0795,SET_PAL_FIELD,IronClad_ID__c,,IC-1152,White Oak Terrace,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx,preview,2026-06-11T08:06:20.232948
a0BWR0000083yOy2AI,AGR-0795,SET_PAL_FIELD,Expiration_Date__c,,2043-11-01,White Oak Terrace,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx,preview,2026-06-11T08:06:20.232958
a0BWR0000083yP12AI,AGR-0798,SET_PAL_FIELD,IronClad_ID__c,,IC-1152,Bali Apartments,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx,preview,2026-06-11T08:06:20.232969
a0BWR0000083yP12AI,AGR-0798,SET_PAL_FIELD,Expiration_Date__c,,2043-11-01,Bali Apartments,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx,preview,2026-06-11T08:06:20.232979
a0BWR0000083yP42AI,AGR-0801,SET_PAL_FIELD,IronClad_ID__c,,IC-1152,Corbett Avenue Apartments,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx,preview,2026-06-11T08:06:20.232990
a0BWR0000083yP42AI,AGR-0801,SET_PAL_FIELD,Expiration_Date__c,,2043-11-01,Corbett Avenue Apartments,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx,preview,2026-06-11T08:06:20.233001
a0BWR0000083yP72AI,AGR-0804,SET_PAL_FIELD,IronClad_ID__c,,IC-1152,Chatsworth Plaza,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx,preview,2026-06-11T08:06:20.233013
a0BWR0000083yP72AI,AGR-0804,SET_PAL_FIELD,Expiration_Date__c,,2043-11-01,Chatsworth Plaza,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx,preview,2026-06-11T08:06:20.233024
a0BWR0000083yPA2AY,AGR-0807,SET_PAL_FIELD,IronClad_ID__c,,IC-1152,John Manor,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx,preview,2026-06-11T08:06:20.233035
a0BWR0000083yPA2AY,AGR-0807,SET_PAL_FIELD,Expiration_Date__c,,2043-11-01,John Manor,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx,preview,2026-06-11T08:06:20.233053
a0BWR0000083yPD2AY,AGR-0810,SET_PAL_FIELD,IronClad_ID__c,,IC-1152,Casa Linda,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx,preview,2026-06-11T08:06:20.233064
a0BWR0000083yPD2AY,AGR-0810,SET_PAL_FIELD,Expiration_Date__c,,2043-11-01,Casa Linda,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx,preview,2026-06-11T08:06:20.233074
a0BWR0000083yPG2AY,AGR-0813,SET_PAL_FIELD,IronClad_ID__c,,IC-1152,Windsor Manor,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx,preview,2026-06-11T08:06:20.233085
a0BWR0000083yPG2AY,AGR-0813,SET_PAL_FIELD,Expiration_Date__c,,2043-11-01,Windsor Manor,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx,preview,2026-06-11T08:06:20.233095
a0BWR0000083yPJ2AY,AGR-0816,SET_PAL_FIELD,IronClad_ID__c,,IC-1152,Coliseum Apartments,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx,preview,2026-06-11T08:06:20.233106
a0BWR0000083yPJ2AY,AGR-0816,SET_PAL_FIELD,Expiration_Date__c,,2043-11-01,Coliseum Apartments,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx,preview,2026-06-11T08:06:20.233116
a0BWR0000083yPM2AY,AGR-0819,SET_PAL_FIELD,IronClad_ID__c,,IC-1152,Colonial Manor Apartments,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx,preview,2026-06-11T08:06:20.233127
a0BWR0000083yPM2AY,AGR-0819,SET_PAL_FIELD,Expiration_Date__c,,2043-11-01,Colonial Manor Apartments,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx,preview,2026-06-11T08:06:20.233137
a0BWR0000083yPP2AY,AGR-0822,SET_PAL_FIELD,IronClad_ID__c,,IC-1152,San Vicente Apartments,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx,preview,2026-06-11T08:06:20.233148
a0BWR0000083yPP2AY,AGR-0822,SET_PAL_FIELD,Expiration_Date__c,,2043-11-01,San Vicente Apartments,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx,preview,2026-06-11T08:06:20.233158
a0BWR0000083yPS2AY,AGR-0825,SET_PAL_FIELD,IronClad_ID__c,,IC-1152,St. Andrews Manor,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx,preview,2026-06-11T08:06:20.233169
a0BWR0000083yPS2AY,AGR-0825,SET_PAL_FIELD,Expiration_Date__c,,2043-11-01,St. Andrews Manor,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx,preview,2026-06-11T08:06:20.233179
a0BWR0000083yPV2AY,AGR-0828,SET_PAL_FIELD,IronClad_ID__c,,IC-1152,Krystal Terrace,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx,preview,2026-06-11T08:06:20.233191
a0BWR0000083yPV2AY,AGR-0828,SET_PAL_FIELD,Expiration_Date__c,,2043-11-01,Krystal Terrace,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx,preview,2026-06-11T08:06:20.233200
a0BWR0000083yPY2AY,AGR-0831,SET_PAL_FIELD,IronClad_ID__c,,IC-1152,Parkway Terrace,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx,preview,2026-06-11T08:06:20.233211
a0BWR0000083yPY2AY,AGR-0831,SET_PAL_FIELD,Expiration_Date__c,,2043-11-01,Parkway Terrace,Cleanup need Ironclad IDs - Taylor's Notes 6.10.26.xlsx,preview,2026-06-11T08:06:20.233221
