Id,Name,Agreement_Name__c,StageName,Loss_Reason__c
006WR00000wiNoNYAU,Sorensen Heights,Omaha_MDU_Sorensen Heights,Prospects,No Contact Info
006WR00000wiNonYAE,Wyndham Villas - Broadmoor,Omaha_MDU_Wyndham Villas by Broadmoor,Prospects,No Contact Info
006WR00000wj8KIYAY,Prairie Spring Apartments,Omaha_MDU_Prairie Spring Apartments,Prospects,No Contact Info
006WR00000wj8KXYAY,Residences at Sorensen Square,Omaha_MDU_Sorensen Square Apartments,Prospects,No Contact Info
006WR00000wj8KcYAI,Camelot Village,Omaha_MDU_Camelot Village,Prospects,No Contact Info
006WR00000wj8KeYAI,Peony Village,Omaha_MDU_Peony Village Apartments,Prospects,No Contact Info
006WR00000wjnlaYAA,The Colonial Apartments Broadmoor,Omaha_MDU_The Colonial,Prospects,No Contact Info
006WR00000wk9T6YAI,Terrace Villa_Morris RE,Killeen_MDU_Terence Villa,Prospects,No Contact Info
006WR00000wk9T8YAI,Quail Hollow Apts_Morris RE,Killeen_MDU_Quail Hollow Apts,Prospects,No Contact Info
006WR00000wk9T9YAI,Killeen_MDU_512 W Green Ave_Morris RE,Killeen_MDU_512 W Green Ave,Prospects,No Contact Info
006WR00000wkA6VYAU,Dundee View,Omaha_MDU_Dundee View Apartments,Prospects,No Contact Info
006WR00000wkA7zYAE,Wyndham Hill,Omaha_MDU_Wyndham Hill & Villas by Broadmoor,Prospects,No Contact Info
006WR00000wkA8eYAE,Park Crest,Omaha_MDU_Park Crest,Prospects,No Contact Info
006WR00000wkA8nYAE,Ville de Sante Terrace Apartments (1),Omaha_MDU_Ville de Sante Terrace Apartments,Prospects,No Contact Info
006WR00000wkA8pYAE,Caravelle Apartments,Omaha_MDU_Caravelle Apartments,Prospects,No Contact Info
006WR00000wkA8rYAE,Laurel Hill Apartments,Omaha_MDU_Laurel Hill Apartments,Prospects,No Contact Info
006WR00000wkA8tYAE,Corby Castle Apts,Omaha_MDU_Corby Castle Apts,Prospects,No Contact Info
006WR00000wkA8vYAE,Coronado Condominiums,Omaha_MDU_Coronado Condominiums,Prospects,No Contact Info
