Action,IronClad_Id,Opportunity_Id,Opp_Name,Agreement_Type,Status,Signed_Date,New_Agreement_Id,Timestamp
CREATE,IC-3754,006WR000011kjHLYAY,ROE - 535 W IRON AVE MESA AZ,ROE,Completed,2026-05-06,a0BWR000009ZGr72AG,2026-07-01T09:09:11.377312
CREATE,IC-4027,006WR000011kit8YAA,ROE - 2202 US HIGHWAY 380  BRIDGEPORT TX,ROE,Completed,2026-05-26,a0BWR000009ZGsj2AG,2026-07-01T09:09:11.377332
CREATE,IC-4034,006WR000011kjJ7YAI,ROE - 900 N AUSTIN AVE GEORGETOWN TX,ROE,Completed,2026-06-01,a0BWR000009ZGuL2AW,2026-07-01T09:09:11.377341
