action,opp_id,opp_name,st_id,st_num,stage
LINKED,006WR00000xvwoUYAQ,Omaha_MDU_4704 Cass St,a0FWR00000V7AC82AN,P-006320,Closed Lost
LINKED,006WR000012Q2XaYAK,Omaha_MDU_4402 N 60th Ave,a0FWR00000V7Wu92AF,P-005517,PAL/ROE Complete
LINKED,006WR00000wk9SsYAI,Sandpiper Pointe,a0FWR00000VMnUr2AL,P-004454,Engaged
LINKED,006WR00000wkA8ZYAU,Del Mar Downs Condos,a0FWR00000VMnbJ2AT,P-004726,Prospects
LINKED,006WR00000wkDtwYAE,Woodglen Square ll,a0FWR00000YiZXx2AN,P-006898,PAL/ROE Complete
