Action,SF_Id,Name,Field,Before,After,Source,Timestamp
UPDATE,006WR00000wk1ERYAY,Indian Hills Terrace (Indian Hills Village Court),Projected_Close_Date__c,,2026-07-31,2026-06-23-marcon-projected-forecast-july.py,2026-06-23T10:29:10.279917
UPDATE,006WR00000wkA8yYAE,78th Place Apartments (78th Street),Projected_Close_Date__c,,2026-07-31,2026-06-23-marcon-projected-forecast-july.py,2026-06-23T10:29:10.279917
UPDATE,006WR00000wkBToYAM,Orchard Park Apartments,Projected_Close_Date__c,,2026-07-31,2026-06-23-marcon-projected-forecast-july.py,2026-06-23T10:29:10.279917
UPDATE,006WR00000wkBTuYAM,Indian Hills Village Apartments,Projected_Close_Date__c,,2026-07-31,2026-06-23-marcon-projected-forecast-july.py,2026-06-23T10:29:10.279917
UPDATE,006WR00000xv174YAA,The Wakeley Pointe,Projected_Close_Date__c,,2026-07-31,2026-06-23-marcon-projected-forecast-july.py,2026-06-23T10:29:10.279917
UPDATE,006WR00000xvWR0YAM,4810-4812 Capital Ave,Projected_Close_Date__c,,2026-07-31,2026-06-23-marcon-projected-forecast-july.py,2026-06-23T10:29:10.279917
UPDATE,006WR00000xwGATYA2,California Place,Projected_Close_Date__c,,2026-07-31,2026-06-23-marcon-projected-forecast-july.py,2026-06-23T10:29:10.279917
