Action,IC,Mode,Opp,Opp_Name,Agreement_Id,Signed,Timestamp
LINK,IC-2667,link,006WR00000xvW9GYAU,Taylor_MDU_Vance Apartments,a0BWR000008AyZN2A0,2026-02-02,2026-07-01T15:38:54.415744
CREATE,IC-2816,create,006WR00000wkBTuYAM,Indian Hills Village Apartments,a0BWR000009ZeBt2AK,2026-02-24,2026-07-01T15:38:55.707743
