SF_Id,Agreement_Name,Field,Before,After,Source,Action,Timestamp
a0BWR0000083yNt2AI,AGR-0728,Status__c,Completed,Completed,ironclad_export_2026-04-29 (IC-1015),PREVIEW,2026-04-28T17:04:04.376985
a0BWR0000083yNt2AI,AGR-0728,Signed_Date__c,2025-06-11,2025-08-06,ironclad_export_2026-04-29 (IC-1015),PREVIEW,2026-04-28T17:04:04.377007
a0BWR0000083yXT2AY,AGR-1122,Status__c,Completed,Completed,ironclad_export_2026-04-29 (IC-1040),PREVIEW,2026-04-28T17:04:04.377020
a0BWR0000083yXT2AY,AGR-1122,Signed_Date__c,2024-02-09,2025-08-11,ironclad_export_2026-04-29 (IC-1040),PREVIEW,2026-04-28T17:04:04.377031
a0BWR0000083yYE2AY,AGR-1169,Status__c,Completed,Cancelled,ironclad_export_2026-04-29 (IC-1039),PREVIEW,2026-04-28T17:04:04.377040
a0BWR000008WEsr2AG,AGR-1442,Status__c,Completed,Completed,ironclad_export_2026-04-29 (IC-1113),PREVIEW,2026-04-28T17:04:04.377049
a0BWR000008WEsr2AG,AGR-1442,Signed_Date__c,2023-06-28,2025-08-06,ironclad_export_2026-04-29 (IC-1113),PREVIEW,2026-04-28T17:04:04.377057
