SF_Id,Agreement_Name,Field,Before,After,Source,Action,Timestamp
a0BWR0000083yGE2AY,AGR-0353,Status__c,Sign,Archive,ironclad_export_2026-08-04_155318_all (IC-4203),PREVIEW,2026-08-04T09:15:14.767260
a0BWR000008szoH2AQ,AGR-1567,Status__c,Sign,Completed,ironclad_export_2026-08-04_155318_all (IC-3840),PREVIEW,2026-08-04T09:15:14.767274
a0BWR000008szoH2AQ,AGR-1567,Signed_Date__c,,2026-08-04,ironclad_export_2026-08-04_155318_all (IC-3840),PREVIEW,2026-08-04T09:15:14.767282
a0BWR000008szzZ2AQ,AGR-1568,Status__c,Sign,Completed,ironclad_export_2026-08-04_155318_all (IC-3839),PREVIEW,2026-08-04T09:15:14.767288
a0BWR000008szzZ2AQ,AGR-1568,Signed_Date__c,,2026-07-30,ironclad_export_2026-08-04_155318_all (IC-3839),PREVIEW,2026-08-04T09:15:14.767294
a0BWR000008xCF32AM,AGR-1576,Status__c,Sign,Archive,ironclad_export_2026-08-04_155318_all (IC-3901),PREVIEW,2026-08-04T09:15:14.767299
a0BWR000008xHQ12AM,AGR-1578,Status__c,Sign,Archive,ironclad_export_2026-08-04_155318_all (IC-3904),PREVIEW,2026-08-04T09:15:14.767304
a0BWR000009RyNt2AK,AGR-1598,Status__c,Sign,Archive,ironclad_export_2026-08-04_155318_all (IC-4199),PREVIEW,2026-08-04T09:15:14.767308
a0BWR000009S1X32AK,AGR-1599,Status__c,Sign,Archive,ironclad_export_2026-08-04_155318_all (IC-4205),PREVIEW,2026-08-04T09:15:14.767313
a0BWR000009S1bt2AC,AGR-1600,Status__c,Sign,Archive,ironclad_export_2026-08-04_155318_all (IC-4201),PREVIEW,2026-08-04T09:15:14.767318
a0BWR000009S1gj2AC,AGR-1601,Status__c,Sign,Archive,ironclad_export_2026-08-04_155318_all (IC-4200),PREVIEW,2026-08-04T09:15:14.767322
