opp_id,opp_name,opp_site_name,opp_state,opp_city,opp_address,opp_stage,rank,score,confidence,st_name,st_site_name,st_monday_name,st_state,st_city,st_site_status,st_already_linked_to,breakdown
006WR00000wk9SEYAY,La Mesa Village Apartments,Mesa_MDU_La Mesa Village Apartments,AZ,Mesa,"655 S Mesa Dr, Mesa, AZ 85210, USA",Contract Negotiations,1,6,medium,P-006197,Mesa_SFU_Greenfield Village RV Resort,Greenfield Village RV Resort,AZ,Mesa,Cancelled,Greenfield Village RV Resort,"state+1; city_exact+3; nametoks['mesa', 'village']+2"
006WR00000wk9SEYAY,La Mesa Village Apartments,Mesa_MDU_La Mesa Village Apartments,AZ,Mesa,"655 S Mesa Dr, Mesa, AZ 85210, USA",Contract Negotiations,2,6,,P-006403,Mesa_MDU_Holiday Village Manufactured Home Village,Holiday Village Manufactured Home Village,AZ,Mesa,Future,Holiday Village Manufactured Home Village,"state+1; city_exact+3; nametoks['mesa', 'village']+2"
006WR00000wk9SEYAY,La Mesa Village Apartments,Mesa_MDU_La Mesa Village Apartments,AZ,Mesa,"655 S Mesa Dr, Mesa, AZ 85210, USA",Contract Negotiations,3,6,,P-006485,Mesa_MDU_La Costa at Dobson Ranch,La Costa at Dobson Ranch,AZ,Mesa,Future,La Costa at Dobson Ranch,"state+1; city_exact+3; nametoks['la', 'mesa']+2"
006WR00000wk9SGYAY,Taschner Apartments,Mesa_MDU_Taschner Apartments,AZ,Mesa,"410 E 9th Ave, Mesa, AZ 85204, USA",Contract Negotiations,1,5,medium,P-002258,Mesa_MDU_Dobson Bay Club HOA,Dobson Bay Club HOA,AZ,Mesa,In Service,Dobson Bay Club HOA,state+1; city_exact+3; nametoks['mesa']+1
006WR00000wk9SGYAY,Taschner Apartments,Mesa_MDU_Taschner Apartments,AZ,Mesa,"410 E 9th Ave, Mesa, AZ 85204, USA",Contract Negotiations,2,5,,P-003277,Mesa_MDU_Dobson Greens Condo HOA,Dobson Greens Condo HOA,AZ,Mesa,In Service,Dobson Greens Condo HOA,state+1; city_exact+3; nametoks['mesa']+1
006WR00000wk9SGYAY,Taschner Apartments,Mesa_MDU_Taschner Apartments,AZ,Mesa,"410 E 9th Ave, Mesa, AZ 85204, USA",Contract Negotiations,3,5,,P-004589,Mesa_MDU_Aspen Ridge,Aspen Ridge,AZ,Mesa,In Service,Aspen Ridge,state+1; city_exact+3; nametoks['mesa']+1
006WR00000wk9SLYAY,Sierra G Ranch,,TX,Jarrell,"220 Sierra G Rnch Blvd, Jarrell, TX, USA",Contract Negotiations,1,5,medium,P-001613,Jarrell_MDU_Sonterra Apartment Homes,Sonterra Apartment Homes,TX,Jarrell,In Service,Sonterra Apartment Homes,state+1; city_exact+3; nametoks['jarrell']+1
006WR00000wk9SSYAY,Waters Haven Apartments,Killeen_MDU_Santa Rosa Apartments,TX,Killeen,"702 Santa Rosa Drive, Killeen, TX, USA",Engaged,1,5,medium,P-006296,Killeen_MDU_The Renaissance at Stoney Creek,The Renaissance at Stoney Creek,TX,Killeen,In Service,The Renaissance at Stoney Creek,state+1; city_exact+3; nametoks['killeen']+1
006WR00000wk9SSYAY,Waters Haven Apartments,Killeen_MDU_Santa Rosa Apartments,TX,Killeen,"702 Santa Rosa Drive, Killeen, TX, USA",Engaged,2,5,,P-001611,Killeen_MDU_Bay Colony Apartments,Bay Colony Apartments,TX,Killeen,In Service,Bay Colony Apartments,state+1; city_exact+3; nametoks['killeen']+1
006WR00000wk9SSYAY,Waters Haven Apartments,Killeen_MDU_Santa Rosa Apartments,TX,Killeen,"702 Santa Rosa Drive, Killeen, TX, USA",Engaged,3,5,,P-006777,Killeen_MDU_209 E Dean Ave,209 E Dean Ave,TX,Killeen,Future,Killeen_MDU_209 E Dean Ave,state+1; city_exact+3; nametoks['killeen']+1
006WR00000wk9SYYAY,Garden Place Apartments,Mesa_MDU_Garden Place Apartments,AZ,Mesa,"1360 West Isabella Avenue, Mesa, AZ, USA",Contract Negotiations,1,6,medium,P-004782,Mesa_MDU_Avenue 8 Apartments,Avenue 8 Apartments,AZ,Mesa,Cancelled,Avenue 8 Apartments,"state+1; city_exact+3; nametoks['avenue', 'mesa']+2"
006WR00000wk9SYYAY,Garden Place Apartments,Mesa_MDU_Garden Place Apartments,AZ,Mesa,"1360 West Isabella Avenue, Mesa, AZ, USA",Contract Negotiations,2,6,,P-004316,Mesa_MDU_Waterford Place Apts,Waterford Place Apts,AZ,Mesa,Future,Waterford Place Apartments,"state+1; city_exact+3; nametoks['mesa', 'place']+2"
006WR00000wk9SYYAY,Garden Place Apartments,Mesa_MDU_Garden Place Apartments,AZ,Mesa,"1360 West Isabella Avenue, Mesa, AZ, USA",Contract Negotiations,3,5,,P-002258,Mesa_MDU_Dobson Bay Club HOA,Dobson Bay Club HOA,AZ,Mesa,In Service,Dobson Bay Club HOA,state+1; city_exact+3; nametoks['mesa']+1
006WR00000wk9SZYAY,Falcon Glen Apartments,Mesa_MDU_Falcon Glen Apartments,AZ,Mesa,"4225 E University Dr, Mesa, AZ 85205, USA",Contract Negotiations,1,5,medium,P-002258,Mesa_MDU_Dobson Bay Club HOA,Dobson Bay Club HOA,AZ,Mesa,In Service,Dobson Bay Club HOA,state+1; city_exact+3; nametoks['mesa']+1
006WR00000wk9SZYAY,Falcon Glen Apartments,Mesa_MDU_Falcon Glen Apartments,AZ,Mesa,"4225 E University Dr, Mesa, AZ 85205, USA",Contract Negotiations,2,5,,P-003277,Mesa_MDU_Dobson Greens Condo HOA,Dobson Greens Condo HOA,AZ,Mesa,In Service,Dobson Greens Condo HOA,state+1; city_exact+3; nametoks['mesa']+1
006WR00000wk9SZYAY,Falcon Glen Apartments,Mesa_MDU_Falcon Glen Apartments,AZ,Mesa,"4225 E University Dr, Mesa, AZ 85205, USA",Contract Negotiations,3,5,,P-004589,Mesa_MDU_Aspen Ridge,Aspen Ridge,AZ,Mesa,In Service,Aspen Ridge,state+1; city_exact+3; nametoks['mesa']+1
006WR00000wk9SdYAI,The Laredo Apartments,Decatur_MDU_The Laredo Apartments,TX,Decatur,1555 W US 380 UNIT 110 DECATUR TX 76234,Contract Negotiations,1,5,medium,P-003509,Decatur_MDU_Eagle Ridge Ter,Eagle Ridge Terrace,TX,Decatur,In Service,Eagle Ridge Terrace Apartments,state+1; city_exact+3; nametoks['decatur']+1
006WR00000wk9SdYAI,The Laredo Apartments,Decatur_MDU_The Laredo Apartments,TX,Decatur,1555 W US 380 UNIT 110 DECATUR TX 76234,Contract Negotiations,2,5,,P-006013,Decatur_MDU_Crestview Place Apartments,Crestview Place Apartments,TX,DECATUR,In Service,Crestview Place Apartments,state+1; city_exact+3; nametoks['decatur']+1
006WR00000wk9SdYAI,The Laredo Apartments,Decatur_MDU_The Laredo Apartments,TX,Decatur,1555 W US 380 UNIT 110 DECATUR TX 76234,Contract Negotiations,3,5,,P-006442,Decatur_MDU_Smallwood Trailer Park,Smallwood Trailer Park,TX,Decatur,In Service,Decatur_MDU_Smallwood Trailer Park,state+1; city_exact+3; nametoks['decatur']+1
