Action,SF_Id,Agreement_Name,IronClad_ID,IronClad_Record_Id,Conflict_Agreement,Source,Timestamp
PREVIEW,a0BWR000008Ay382AC,AGR-1390,IC-2797,a0HWR00000ng2Ua2AI,,link_orphan_ironclad_agreements.py,2026-06-22T09:32:04.628542
PREVIEW,a0BWR000008AyUX2A0,AGR-1368,IC-2583,a0HWR00000ng2UN2AY,,link_orphan_ironclad_agreements.py,2026-06-22T09:32:04.628559
PREVIEW,a0BWR000008AyW92AK,AGR-1369,IC-2586,a0HWR00000ng2UO2AY,,link_orphan_ironclad_agreements.py,2026-06-22T09:32:04.628567
PREVIEW,a0BWR000008Ayaz2AC,AGR-1372,IC-2719,a0HWR00000ng2WM2AY,,link_orphan_ironclad_agreements.py,2026-06-22T09:32:04.628573
PREVIEW,a0BWR000008Aycb2AC,AGR-1373,IC-2720,a0HWR00000ng2XM2AY,,link_orphan_ironclad_agreements.py,2026-06-22T09:32:04.628579
PREVIEW,a0BWR000008AyeD2AS,AGR-1374,IC-2794,a0HWR00000ng2XG2AY,,link_orphan_ironclad_agreements.py,2026-06-22T09:32:04.628585
PREVIEW,a0BWR000008Ayj32AC,AGR-1377,IC-2721,a0HWR00000ng2WP2AY,,link_orphan_ironclad_agreements.py,2026-06-22T09:32:04.628590
PREVIEW,a0BWR000008AymH2AS,AGR-1379,IC-2729,a0HWR00000ng2X32AI,,link_orphan_ironclad_agreements.py,2026-06-22T09:32:04.628595
PREVIEW,a0BWR000008Aynt2AC,AGR-1380,IC-2810,a0HWR00000ng2WQ2AY,,link_orphan_ironclad_agreements.py,2026-06-22T09:32:04.628601
PREVIEW,a0BWR000008AypV2AS,AGR-1381,IC-2722,a0HWR00000ng2WO2AY,,link_orphan_ironclad_agreements.py,2026-06-22T09:32:04.628606
PREVIEW,a0BWR000008Ayr72AC,AGR-1382,IC-2723,a0HWR00000ng2O82AI,,link_orphan_ironclad_agreements.py,2026-06-22T09:32:04.628611
PREVIEW,a0BWR000008Aysj2AC,AGR-1383,IC-2611,a0HWR00000ng2WF2AY,,link_orphan_ironclad_agreements.py,2026-06-22T09:32:04.628618
PREVIEW,a0BWR000008AyuL2AS,AGR-1384,IC-2676,a0HWR00000ng2WE2AY,,link_orphan_ironclad_agreements.py,2026-06-22T09:32:04.628623
PREVIEW,a0BWR000008Ayvx2AC,AGR-1385,IC-2855,a0HWR00000ng2XF2AY,,link_orphan_ironclad_agreements.py,2026-06-22T09:32:04.628628
PREVIEW,a0BWR000008AyxZ2AS,AGR-1386,IC-2724,a0HWR00000ng2Oy2AI,,link_orphan_ironclad_agreements.py,2026-06-22T09:32:04.628633
PREVIEW,a0BWR000008Az0n2AC,AGR-1388,IC-2811,a0HWR00000ng2VM2AY,,link_orphan_ironclad_agreements.py,2026-06-22T09:32:04.628639
CONFLICT,a0BWR0000083yOL2AY,AGR-0756,IC-1220,a0HWR00000neVoi2AE,a0BWR0000083yOI2AY,link_orphan_ironclad_agreements.py,2026-06-22T09:32:04.628647
CONFLICT,a0BWR0000083yaS2AQ,AGR-1307,IC-1173,a0HWR00000ng2gp2AA,a0BWR000008WSxR2AW,link_orphan_ironclad_agreements.py,2026-06-22T09:32:04.628655
CONFLICT,a0BWR000008AxqD2AS,AGR-1339,IC-671,a0HWR00000ng1sa2AA,a0BWR000008WSfh2AG,link_orphan_ironclad_agreements.py,2026-06-22T09:32:04.628661
CONFLICT,a0BWR000008HuFh2AK,AGR-1394,IC-3284,a0HWR00000rCkfD2AS,a0BWR000008WErF2AW,link_orphan_ironclad_agreements.py,2026-06-22T09:32:04.628667
CONFLICT,a0BWR000008Huh72AC,AGR-1413,IC-3282,a0HWR00000rCSNR2A4,a0BWR000008WF2X2AW,link_orphan_ironclad_agreements.py,2026-06-22T09:32:04.628674
NO_PARENT,a0BWR0000083yBY2AY,AGR-0063,IC-1377,,,link_orphan_ironclad_agreements.py,2026-06-22T09:32:04.628680
NO_PARENT,a0BWR0000083yBZ2AY,AGR-0064,N/A,,,link_orphan_ironclad_agreements.py,2026-06-22T09:32:04.628687
NO_PARENT,a0BWR0000083yFR2AY,AGR-0304,N/A,,,link_orphan_ironclad_agreements.py,2026-06-22T09:32:04.628692
NO_PARENT,a0BWR0000083yFS2AY,AGR-0305,N/A,,,link_orphan_ironclad_agreements.py,2026-06-22T09:32:04.628698
NO_PARENT,a0BWR0000083yGE2AY,AGR-0353,N/A,,,link_orphan_ironclad_agreements.py,2026-06-22T09:32:04.628703
NO_PARENT,a0BWR0000083yKM2AY,AGR-0509,N/A,,,link_orphan_ironclad_agreements.py,2026-06-22T09:32:04.628708
NO_PARENT,a0BWR0000083yKn2AI,AGR-0536,N/A,,,link_orphan_ironclad_agreements.py,2026-06-22T09:32:04.628713
NO_PARENT,a0BWR0000083yKo2AI,AGR-0537,N/A,,,link_orphan_ironclad_agreements.py,2026-06-22T09:32:04.628718
NO_PARENT,a0BWR0000083yKq2AI,AGR-0539,N/A,,,link_orphan_ironclad_agreements.py,2026-06-22T09:32:04.628723
NO_PARENT,a0BWR0000083yKw2AI,AGR-0545,N/A,,,link_orphan_ironclad_agreements.py,2026-06-22T09:32:04.628728
NO_PARENT,a0BWR0000083yLB2AY,AGR-0560,N/A,,,link_orphan_ironclad_agreements.py,2026-06-22T09:32:04.628733
NO_PARENT,a0BWR0000083yLF2AY,AGR-0564,N/A,,,link_orphan_ironclad_agreements.py,2026-06-22T09:32:04.628738
NO_PARENT,a0BWR0000083yLI2AY,AGR-0567,N/A,,,link_orphan_ironclad_agreements.py,2026-06-22T09:32:04.628743
NO_PARENT,a0BWR0000083yLK2AY,AGR-0569,N/A,,,link_orphan_ironclad_agreements.py,2026-06-22T09:32:04.628748
NO_PARENT,a0BWR0000083yLM2AY,AGR-0571,N/A,,,link_orphan_ironclad_agreements.py,2026-06-22T09:32:04.628753
NO_PARENT,a0BWR0000083yM12AI,AGR-0612,N/A,,,link_orphan_ironclad_agreements.py,2026-06-22T09:32:04.628758
NO_PARENT,a0BWR0000083yM62AI,AGR-0617,N/A,,,link_orphan_ironclad_agreements.py,2026-06-22T09:32:04.628763
NO_PARENT,a0BWR0000083yMB2AY,AGR-0622,N/A,,,link_orphan_ironclad_agreements.py,2026-06-22T09:32:04.628768
NO_PARENT,a0BWR0000083yMG2AY,AGR-0627,N/A,,,link_orphan_ironclad_agreements.py,2026-06-22T09:32:04.628773
NO_PARENT,a0BWR0000083yML2AY,AGR-0632,N/A,,,link_orphan_ironclad_agreements.py,2026-06-22T09:32:04.628778
NO_PARENT,a0BWR0000083yMQ2AY,AGR-0637,N/A,,,link_orphan_ironclad_agreements.py,2026-06-22T09:32:04.628783
NO_PARENT,a0BWR0000083yMS2AY,AGR-0639,N/A,,,link_orphan_ironclad_agreements.py,2026-06-22T09:32:04.628787
NO_PARENT,a0BWR0000083yO02AI,AGR-0735,N/A,,,link_orphan_ironclad_agreements.py,2026-06-22T09:32:04.628792
NO_PARENT,a0BWR0000083yO32AI,AGR-0738,N/A,,,link_orphan_ironclad_agreements.py,2026-06-22T09:32:04.628797
NO_PARENT,a0BWR0000083yO92AI,AGR-0744,N/A,,,link_orphan_ironclad_agreements.py,2026-06-22T09:32:04.628802
NO_PARENT,a0BWR0000083yOB2AY,AGR-0746,N/A,,,link_orphan_ironclad_agreements.py,2026-06-22T09:32:04.628806
NO_PARENT,a0BWR0000083yOD2AY,AGR-0748,N/A,,,link_orphan_ironclad_agreements.py,2026-06-22T09:32:04.628811
NO_PARENT,a0BWR0000083yOh2AI,AGR-0778,N/A,,,link_orphan_ironclad_agreements.py,2026-06-22T09:32:04.628816
NO_PARENT,a0BWR0000083yOj2AI,AGR-0780,N/A,,,link_orphan_ironclad_agreements.py,2026-06-22T09:32:04.628821
NO_PARENT,a0BWR0000083yOl2AI,AGR-0782,N/A,,,link_orphan_ironclad_agreements.py,2026-06-22T09:32:04.628825
NO_PARENT,a0BWR0000083yTN2AY,AGR-0868,N/A,,,link_orphan_ironclad_agreements.py,2026-06-22T09:32:04.628830
NO_PARENT,a0BWR0000083yTP2AY,AGR-0870,N/A,,,link_orphan_ironclad_agreements.py,2026-06-22T09:32:04.628835
NO_PARENT,a0BWR0000083yTR2AY,AGR-0872,N/A,,,link_orphan_ironclad_agreements.py,2026-06-22T09:32:04.628839
NO_PARENT,a0BWR0000083yTT2AY,AGR-0874,N/A,,,link_orphan_ironclad_agreements.py,2026-06-22T09:32:04.628844
NO_PARENT,a0BWR0000083yTk2AI,AGR-0891,N/A,,,link_orphan_ironclad_agreements.py,2026-06-22T09:32:04.628849
NO_PARENT,a0BWR0000083yTm2AI,AGR-0893,N/A,,,link_orphan_ironclad_agreements.py,2026-06-22T09:32:04.628854
NO_PARENT,a0BWR0000083yTp2AI,AGR-0896,N/A,,,link_orphan_ironclad_agreements.py,2026-06-22T09:32:04.628858
NO_PARENT,a0BWR0000083yTs2AI,AGR-0899,N/A,,,link_orphan_ironclad_agreements.py,2026-06-22T09:32:04.628863
NO_PARENT,a0BWR0000083yUo2AI,AGR-0957,N/A,,,link_orphan_ironclad_agreements.py,2026-06-22T09:32:04.628868
NO_PARENT,a0BWR0000083yUp2AI,AGR-0958,N/A,,,link_orphan_ironclad_agreements.py,2026-06-22T09:32:04.628872
NO_PARENT,a0BWR0000083yUr2AI,AGR-0960,N/A,,,link_orphan_ironclad_agreements.py,2026-06-22T09:32:04.628877
NO_PARENT,a0BWR0000083yUs2AI,AGR-0961,N/A,,,link_orphan_ironclad_agreements.py,2026-06-22T09:32:04.628882
NO_PARENT,a0BWR0000083yUv2AI,AGR-0964,N/A,,,link_orphan_ironclad_agreements.py,2026-06-22T09:32:04.628886
NO_PARENT,a0BWR0000083yUx2AI,AGR-0966,N/A,,,link_orphan_ironclad_agreements.py,2026-06-22T09:32:04.628892
NO_PARENT,a0BWR0000083yUz2AI,AGR-0968,N/A,,,link_orphan_ironclad_agreements.py,2026-06-22T09:32:04.628897
NO_PARENT,a0BWR0000083yV02AI,AGR-0969,N/A,,,link_orphan_ironclad_agreements.py,2026-06-22T09:32:04.628901
NO_PARENT,a0BWR0000083yV22AI,AGR-0971,N/A,,,link_orphan_ironclad_agreements.py,2026-06-22T09:32:04.628906
NO_PARENT,a0BWR0000083yV32AI,AGR-0972,N/A,,,link_orphan_ironclad_agreements.py,2026-06-22T09:32:04.628911
NO_PARENT,a0BWR0000083yV52AI,AGR-0974,N/A,,,link_orphan_ironclad_agreements.py,2026-06-22T09:32:04.628915
NO_PARENT,a0BWR0000083yV62AI,AGR-0975,N/A,,,link_orphan_ironclad_agreements.py,2026-06-22T09:32:04.628920
NO_PARENT,a0BWR0000083yV82AI,AGR-0977,N/A,,,link_orphan_ironclad_agreements.py,2026-06-22T09:32:04.628932
NO_PARENT,a0BWR0000083yV92AI,AGR-0978,N/A,,,link_orphan_ironclad_agreements.py,2026-06-22T09:32:04.628937
NO_PARENT,a0BWR0000083yVB2AY,AGR-0980,N/A,,,link_orphan_ironclad_agreements.py,2026-06-22T09:32:04.628941
