Id,name,state,st_status,old_property_category,new_property_category,old_mdu_categorization,new_mdu_categorization
006WR00000wkDu1YAE,"The M at Lakeline",TX,Out of Footprint,Cat 2,Cat 3,NearNet,OffNet
006WR00000wkDu2YAE,"Palmero by the Park (f/k/a Overlook by the Park)",TX,Out of Footprint,Cat 2,Cat 3,NearNet,OffNet
006WR00000wkDu3YAE,"La Costa Paloma",CA,On Net,Cat 2,Cat 1,NearNet,OnNet
006WR00000wkDu5YAE,"Southwest Patio Home Apartments",ID,Out of Footprint,Cat 3,Cat 3,,OffNet
006WR00000wkDu6YAE,"500 NE 70th",WA,Out of Footprint,Cat 3,Cat 3,,OffNet
006WR00000wkDu7YAE,"San Montego Luxury Apartments",AZ,Out of Footprint,Cat 2,Cat 3,OffNet,OffNet
006WR00000wkDu8YAE,"The Turn Apartments",AZ,Out of Footprint,Cat 2,Cat 3,OffNet,OffNet
006WR00000wkDuNYAU,"6311-6321 Roosevelt",WA,Out of Footprint,Cat 3,Cat 3,,OffNet
006WR00000wkDuPYAU,"7000 Roosevelt Way Apt",WA,Out of Footprint,Cat 3,Cat 3,,OffNet
006WR00000wkDuRYAU,"7101 Roosevelt Way Apt",WA,Out of Footprint,Cat 3,Cat 3,,OffNet
006WR00000wkDuSYAU,"The Fifth Avenue",WA,Out of Footprint,Cat 3,Cat 3,,OffNet
006WR00000wkDuTYAU,"The Sixth Avenue",WA,Out of Footprint,Cat 3,Cat 3,,OffNet
006WR00000wkDuhYAE,"The Park West",WA,Out of Footprint,Cat 3,Cat 3,,OffNet
006WR00000wkDujYAE,"Villa Boitano 2",WA,Out of Footprint,Cat 3,Cat 3,,OffNet
006WR00000wkDulYAE,"104 North Apt",WA,Out of Footprint,Cat 3,Cat 3,,OffNet
006WR00000wkDunYAE,"Villa Boitano 3",WA,Out of Footprint,Cat 3,Cat 3,,OffNet
006WR00000wkDupYAE,"8746 Phinney Apt",WA,Out of Footprint,Cat 3,Cat 3,,OffNet
006WR00000wkDurYAE,"The Cliffetta",WA,Out of Footprint,Cat 3,Cat 3,,OffNet
006WR00000wkDusYAE,"Espana",WA,Out of Footprint,Cat 3,Cat 3,,OffNet
006WR00000wkDv4YAE,"615 Manhattan",CA,Out of Footprint,Cat 2,Cat 3,OffNet,OffNet
006WR00000wkDvBYAU,"Northpark Apartments",OK,Out of Footprint,Cat 3,Cat 3,,OffNet
006WR00000wkEZoYAM,"Tierra Pointe",NM,Out of Footprint,Cat 3,Cat 3,,OffNet
006WR00000wkEZqYAM,"Comanche Wells",NM,Out of Footprint,Cat 3,Cat 3,,OffNet
006WR00000wkEZtYAM,"5307 Ravenna",WA,Out of Footprint,Cat 3,Cat 3,,OffNet
006WR00000wkEZvYAM,"1744 Dexter Avenue Apartments",WA,Out of Footprint,Cat 3,Cat 3,,OffNet
006WR00000wkEZyYAM,"Green Lake South",WA,Out of Footprint,Cat 3,Cat 3,,OffNet
006WR00000wkEZzYAM,"430 NE Ravenna",WA,Out of Footprint,Cat 3,Cat 3,,OffNet
006WR00000wkEa0YAE,"Lakeland",WA,Out of Footprint,Cat 3,Cat 3,,OffNet
006WR00000wkEaLYAU,"The Royce",WA,Out of Footprint,Cat 3,Cat 3,,OffNet
006WR00000wkEaMYAU,"Aloha Wey Apartments",WA,Out of Footprint,Cat 3,Cat 3,,OffNet
006WR00000wkEaNYAU,"Jem-Wey Apartments",WA,Out of Footprint,Cat 3,Cat 3,,OffNet
006WR00000wkEaqYAE,"Katerina Chalet",WA,Out of Footprint,Cat 3,Cat 3,,OffNet
006WR00000wkEarYAE,"8409 5th Ave Apt",WA,Out of Footprint,Cat 3,Cat 3,,OffNet
006WR00000wkEasYAE,"Villa Boitano 1",WA,Out of Footprint,Cat 3,Cat 3,,OffNet
006WR00000wkEatYAE,"4459 Fremont Ave Apt",WA,Out of Footprint,Cat 3,Cat 3,,OffNet
006WR00000wkEauYAE,"Hollypark Knolls Apartments",CA,Out of Footprint,Cat 2,Cat 3,OffNet,OffNet
006WR00000wkEavYAE,"Saticoy Gardens",CA,Out of Footprint,Cat 2,Cat 3,OffNet,OffNet
006WR00000wkEazYAE,"Spring Mountain Apartments",OR,Out of Footprint,Cat 3,Cat 3,,OffNet
006WR00000wkEb0YAE,"Aspen Hills",ID,Out of Footprint,Cat 3,Cat 3,,OffNet
006WR00000wkEb2YAE,"Columbine Towers",CO,Out of Footprint,Cat 3,Cat 3,,OffNet
006WR00000wkEb7YAE,"The Bungalows on 204",NE,Out of Footprint,Cat 2,Cat 3,NearNet,OffNet
006WR00000wkEb8YAE,"The Bungalows on the Lake at Prairie Queen",NE,Out of Footprint,Cat 2,Cat 3,NearNet,OffNet
006WR00000wkEb9YAE,"The Bungalows on the Lake at Prairie Queen_The View",NE,Out of Footprint,Cat 2,Cat 3,NearNet,OffNet
006WR00000wkEbAYAU,"1010 on the Lake",NE,Out of Footprint,Cat 2,Cat 3,NearNet,OffNet
006WR00000wkEbBYAU,"The Beckham",NE,Out of Footprint,Cat 2,Cat 3,NearNet,OffNet
006WR00000wkEbIYAU,"First Casa De Marina",CA,Out of Footprint,Cat 2,Cat 3,OffNet,OffNet
006WR00000wkEbJYAU,"Lombardi Apartments",CA,Out of Footprint,Cat 2,Cat 3,OffNet,OffNet
006WR00000wkEbKYAU,"The Meadows at Westlake Village",CA,Out of Footprint,Cat 2,Cat 3,OffNet,OffNet
006WR00000wkEbLYAU,"Brookside Terrace Apartments",CA,Out of Footprint,Cat 2,Cat 3,OffNet,OffNet
006WR00000wkEbMYAU,"Gloria Homes",CA,Out of Footprint,Cat 2,Cat 3,OffNet,OffNet
006WR00000wkEbNYAU,"Parthenia Terrace",CA,Out of Footprint,Cat 2,Cat 3,OffNet,OffNet
006WR00000wkEbYYAU,"Trailpoint by Trion Living / Trailpoint on Highline",CO,Out of Footprint,Cat 3,Cat 3,,OffNet
006WR00000wkEbZYAU,"Ballantrae Apartments",MN,Out of Footprint,Cat 3,Cat 3,,OffNet
006WR00000wkEbaYAE,"Westcliff Apartments",CO,Out of Footprint,Cat 3,Cat 3,,OffNet
006WR00000wkEbbYAE,"Sunshine Portland",OR,Out of Footprint,Cat 3,Cat 3,,OffNet
006WR00000wkEbcYAE,"Larpenteur Manor Apartments",MN,Out of Footprint,Cat 3,Cat 3,,OffNet
006WR00000wkEbdYAE,"Sun Place Apartments",MN,Out of Footprint,Cat 3,Cat 3,,OffNet
006WR00000wkEbeYAE,"Parkview Apartments",MN,Out of Footprint,Cat 3,Cat 3,,OffNet
006WR00000wkEbfYAE,"Cottage Terrace Apartments",MN,Out of Footprint,Cat 3,Cat 3,,OffNet
006WR00000wkEbgYAE,"Edgerton Highlands Apartments",MN,Out of Footprint,Cat 3,Cat 3,,OffNet
006WR00000wkEbhYAE,"Johnson Parkway Apartments",MN,Out of Footprint,Cat 3,Cat 3,,OffNet
006WR00000wkEbiYAE,"LaBlanche Apartments",MN,Out of Footprint,Cat 3,Cat 3,,OffNet
006WR00000wkEbjYAE,"Park Vista Apartments",MN,Out of Footprint,Cat 3,Cat 3,,OffNet
