Id,site,old_loss,new_loss,result,rationale
006WR00000wkClZYAU,Paloma Village,Not Interested,Existing Contract,OK,signed Bulk Fiber Managed WIFI w/ WhiteSky - not eligible
006WR00000xw2FcYAI,Birchwood,Not Interested,Existing Contract,OK,existing Cox contract in tenant rental agreement (ROE-note caveat)
