Id,Name,Agreement_Name__c,old_category,new_category,result
006WR00000xufudYAA,Killeen_MDU_75 W. Ave E Apartments,Killeen_MDU_75 W. Ave E Apartments,,Cat 1,OK
006WR00000xupQsYAI,Killeen_MDU_1711 Mulford St,Killeen_MDU_1711 Mulford St,,Cat 1,OK
006WR00000xvVRkYAM,NE_Omaha_SA12_FDH26_MDU_Arlon Hunt LLC,NE_OMAHA_SA12_FDH26_MDU_ARLON HUNT LLC,,Cat 1,OK
006WR00000xvY31YAE,NE_Omaha_SA12_FDH12_MDU_Omaha Home for Boys,NE_OMAHA_SA12_FDH12_MDU_OMAHA HOME FOR BOYS,,Cat 1,OK
006WR00000xw0DnYAI,Killeen_MDU_122 N College St,Killeen_MDU_122 N College St,,Cat 1,OK
006WR00000xwFEPYA2,NE_Omaha_SA06_FDH37_MDU_ Egad LLC,NE_OMAHA_SA06_FDH37_MDU_ EGAD LLC,,Cat 1,OK
006WR00000xwGC5YAM,NE_Omaha_SA12_FDH26_PA12,NE_OMAHA_SA12_FDH26_PA12,,Cat 1,OK
006WR00000xwGYfYAM,Killeen_MDU_119-111 N College St,Killeen_MDU_119-111 N College St,,Cat 1,OK
