SF_Id,Agreement_Name,Field,Before,After,Source,Action,Timestamp
a0BWR0000083yKk2AI,AGR-0533,Status__c,Completed,Completed,ironclad_export_2026-05-20 (IC-74),PREVIEW,2026-05-22T12:29:02.286658
a0BWR0000083yKk2AI,AGR-0533,Signed_Date__c,2025-04-04,2025-04-03,ironclad_export_2026-05-20 (IC-74),PREVIEW,2026-05-22T12:29:02.286678
a0BWR0000083yOm2AI,AGR-0783,Status__c,Completed,Completed,ironclad_export_2026-05-20 (IC-87),PREVIEW,2026-05-22T12:29:02.286691
a0BWR0000083yOm2AI,AGR-0783,Signed_Date__c,2025-04-01,2025-03-28,ironclad_export_2026-05-20 (IC-87),PREVIEW,2026-05-22T12:29:02.286701
a0BWR0000083yTo2AI,AGR-0895,Status__c,Completed,Completed,ironclad_export_2026-05-20 (IC-110),PREVIEW,2026-05-22T12:29:02.286710
a0BWR0000083yTo2AI,AGR-0895,Signed_Date__c,2025-12-04,2025-12-02,ironclad_export_2026-05-20 (IC-110),PREVIEW,2026-05-22T12:29:02.286718
a0BWR0000083yTu2AI,AGR-0901,Status__c,Completed,Completed,ironclad_export_2026-05-20 (IC-117),PREVIEW,2026-05-22T12:29:02.286726
a0BWR0000083yTu2AI,AGR-0901,Signed_Date__c,2025-03-10,2025-03-07,ironclad_export_2026-05-20 (IC-117),PREVIEW,2026-05-22T12:29:02.286733
a0BWR0000083yUu2AI,AGR-0963,Status__c,Completed,Completed,ironclad_export_2026-05-20 (IC-150),PREVIEW,2026-05-22T12:29:02.286741
a0BWR0000083yUu2AI,AGR-0963,Signed_Date__c,2025-04-11,2025-04-10,ironclad_export_2026-05-20 (IC-150),PREVIEW,2026-05-22T12:29:02.286748
a0BWR0000083yV42AI,AGR-0973,Status__c,Completed,Completed,ironclad_export_2026-05-20 (IC-161),PREVIEW,2026-05-22T12:29:02.286756
a0BWR0000083yV42AI,AGR-0973,Signed_Date__c,2025-04-25,2025-04-23,ironclad_export_2026-05-20 (IC-161),PREVIEW,2026-05-22T12:29:02.286763
a0BWR0000083yV72AI,AGR-0976,Status__c,Completed,Completed,ironclad_export_2026-05-20 (IC-162),PREVIEW,2026-05-22T12:29:02.286770
a0BWR0000083yV72AI,AGR-0976,Signed_Date__c,2025-04-25,2025-04-23,ironclad_export_2026-05-20 (IC-162),PREVIEW,2026-05-22T12:29:02.286777
a0BWR0000083yVA2AY,AGR-0979,Status__c,Completed,Completed,ironclad_export_2026-05-20 (IC-163),PREVIEW,2026-05-22T12:29:02.286784
a0BWR0000083yVA2AY,AGR-0979,Signed_Date__c,2025-04-25,2025-04-23,ironclad_export_2026-05-20 (IC-163),PREVIEW,2026-05-22T12:29:02.286790
a0BWR0000083yVG2AY,AGR-0985,Status__c,Completed,Completed,ironclad_export_2026-05-20 (IC-142),PREVIEW,2026-05-22T12:29:02.286798
a0BWR0000083yVG2AY,AGR-0985,Signed_Date__c,2025-04-25,2025-04-23,ironclad_export_2026-05-20 (IC-142),PREVIEW,2026-05-22T12:29:02.286805
a0BWR0000083yVY2AY,AGR-1003,Status__c,Completed,Completed,ironclad_export_2026-05-20 (IC-148),PREVIEW,2026-05-22T12:29:02.286812
a0BWR0000083yVY2AY,AGR-1003,Signed_Date__c,2025-04-15,2025-04-14,ironclad_export_2026-05-20 (IC-148),PREVIEW,2026-05-22T12:29:02.286819
a0BWR0000083yWI2AY,AGR-1049,Status__c,Completed,Completed,ironclad_export_2026-05-20 (IC-267),PREVIEW,2026-05-22T12:29:02.286826
a0BWR0000083yWI2AY,AGR-1049,Signed_Date__c,2025-11-25,2025-11-24,ironclad_export_2026-05-20 (IC-267),PREVIEW,2026-05-22T12:29:02.286833
a0BWR0000083yWn2AI,AGR-1080,Status__c,Completed,Completed,ironclad_export_2026-05-20 (IC-79),PREVIEW,2026-05-22T12:29:02.286840
a0BWR0000083yWn2AI,AGR-1080,Signed_Date__c,2025-04-09,2025-04-08,ironclad_export_2026-05-20 (IC-79),PREVIEW,2026-05-22T12:29:02.286847
a0BWR0000083yWo2AI,AGR-1081,Status__c,Completed,Completed,ironclad_export_2026-05-20 (IC-296),PREVIEW,2026-05-22T12:29:02.286855
a0BWR0000083yWo2AI,AGR-1081,Signed_Date__c,2025-07-11,2025-07-10,ironclad_export_2026-05-20 (IC-296),PREVIEW,2026-05-22T12:29:02.286862
a0BWR0000083yXF2AY,AGR-1108,Status__c,Completed,Completed,ironclad_export_2026-05-20 (IC-119),PREVIEW,2026-05-22T12:29:02.286869
a0BWR0000083yXF2AY,AGR-1108,Signed_Date__c,2025-04-11,2025-03-31,ironclad_export_2026-05-20 (IC-119),PREVIEW,2026-05-22T12:29:02.286876
a0BWR0000083yaN2AQ,AGR-1302,Status__c,Completed,Completed,ironclad_export_2026-05-20 (IC-295),PREVIEW,2026-05-22T12:29:02.286883
a0BWR0000083yaN2AQ,AGR-1302,Signed_Date__c,2025-06-30,2025-04-04,ironclad_export_2026-05-20 (IC-295),PREVIEW,2026-05-22T12:29:02.286890
a0BWR0000083yaP2AQ,AGR-1304,Status__c,Completed,Completed,ironclad_export_2026-05-20 (IC-109),PREVIEW,2026-05-22T12:29:02.286897
a0BWR0000083yaP2AQ,AGR-1304,Signed_Date__c,2025-02-27,2025-02-21,ironclad_export_2026-05-20 (IC-109),PREVIEW,2026-05-22T12:29:02.286904
a0BWR000008WSSn2AO,AGR-1453,Status__c,Completed,Completed,ironclad_export_2026-05-20 (IC-2185),PREVIEW,2026-05-22T12:29:02.286912
a0BWR000008WSSn2AO,AGR-1453,Signed_Date__c,2026-01-21,2026-01-15,ironclad_export_2026-05-20 (IC-2185),PREVIEW,2026-05-22T12:29:02.286919
a0BWR000008WSZF2A4,AGR-1457,Status__c,Cancelled,Cancelled,ironclad_export_2026-05-20 (IC-2112),PREVIEW,2026-05-22T12:29:02.286927
a0BWR000008WSZF2A4,AGR-1457,Signed_Date__c,2026-02-03,2025-12-21,ironclad_export_2026-05-20 (IC-2112),PREVIEW,2026-05-22T12:29:02.286934
a0BWR000008WSiv2AG,AGR-1463,Status__c,Completed,Completed,ironclad_export_2026-05-20 (IC-2271),PREVIEW,2026-05-22T12:29:02.286941
a0BWR000008WSiv2AG,AGR-1463,Signed_Date__c,2026-02-12,2026-01-26,ironclad_export_2026-05-20 (IC-2271),PREVIEW,2026-05-22T12:29:02.286948
a0BWR000008WSm92AG,AGR-1465,Status__c,Completed,Completed,ironclad_export_2026-05-20 (IC-2817),PREVIEW,2026-05-22T12:29:02.286955
a0BWR000008WSm92AG,AGR-1465,Signed_Date__c,2026-03-18,2026-02-24,ironclad_export_2026-05-20 (IC-2817),PREVIEW,2026-05-22T12:29:02.286962
a0BWR000008WSnl2AG,AGR-1466,Status__c,Completed,Completed,ironclad_export_2026-05-20 (IC-2818),PREVIEW,2026-05-22T12:29:02.286969
a0BWR000008WSnl2AG,AGR-1466,Signed_Date__c,2026-03-12,2026-02-24,ironclad_export_2026-05-20 (IC-2818),PREVIEW,2026-05-22T12:29:02.286976
a0BWR000008bmnR2AQ,AGR-1549,Status__c,Completed,Completed,ironclad_export_2026-05-20 (IC-2928),PREVIEW,2026-05-22T12:29:02.286983
a0BWR000008bmnR2AQ,AGR-1549,Signed_Date__c,2026-05-05,2026-03-17,ironclad_export_2026-05-20 (IC-2928),PREVIEW,2026-05-22T12:29:02.286990
a0BWR000008gCL72AM,AGR-1551,Status__c,Completed,Completed,ironclad_export_2026-05-20 (IC-2908),PREVIEW,2026-05-22T12:29:02.286997
a0BWR000008gCL72AM,AGR-1551,Signed_Date__c,2026-04-23,2026-03-10,ironclad_export_2026-05-20 (IC-2908),PREVIEW,2026-05-22T12:29:02.287004
a0BWR000008gCOL2A2,AGR-1552,Status__c,Completed,Completed,ironclad_export_2026-05-20 (IC-2910),PREVIEW,2026-05-22T12:29:02.287011
a0BWR000008gCOL2A2,AGR-1552,Signed_Date__c,2026-03-24,2026-03-10,ironclad_export_2026-05-20 (IC-2910),PREVIEW,2026-05-22T12:29:02.287018
a0BWR000008gCPx2AM,AGR-1553,Status__c,Completed,Completed,ironclad_export_2026-05-20 (IC-2921),PREVIEW,2026-05-22T12:29:02.287025
a0BWR000008gCPx2AM,AGR-1553,Signed_Date__c,2026-04-23,2026-03-12,ironclad_export_2026-05-20 (IC-2921),PREVIEW,2026-05-22T12:29:02.287032
a0BWR000008gCRZ2A2,AGR-1554,Status__c,Completed,Completed,ironclad_export_2026-05-20 (IC-3117),PREVIEW,2026-05-22T12:29:02.287039
a0BWR000008gCRZ2A2,AGR-1554,Signed_Date__c,2026-04-15,2026-04-08,ironclad_export_2026-05-20 (IC-3117),PREVIEW,2026-05-22T12:29:02.287046
a0BWR000008rBwn2AE,AGR-1566,Status__c,Completed,Sign,ironclad_export_2026-05-20 (IC-3838),PREVIEW,2026-05-22T12:29:02.287055
