SF_Id,Agreement_Name,Field,Before,After,Source,Action,Timestamp
a0BWR0000083yBI2AY,AGR-0047,Status__c,Review,Sign,ironclad_export_2026-06-29_174904_all (IC-2079),PREVIEW,2026-06-29T10:54:09.390438
a0BWR0000083yGE2AY,AGR-0353,Status__c,Review,Sign,ironclad_export_2026-06-29_174904_all (IC-4203),PREVIEW,2026-06-29T10:54:09.390461
a0BWR000008xBqr2AE,AGR-1575,Status__c,Review,Sign,ironclad_export_2026-06-29_174904_all (IC-3900),PREVIEW,2026-06-29T10:54:09.390473
a0BWR000008xCF32AM,AGR-1576,Status__c,Review,Sign,ironclad_export_2026-06-29_174904_all (IC-3901),PREVIEW,2026-06-29T10:54:09.390481
a0BWR000008xHQ12AM,AGR-1578,Status__c,Review,Sign,ironclad_export_2026-06-29_174904_all (IC-3904),PREVIEW,2026-06-29T10:54:09.390488
a0BWR000008xKcP2AU,AGR-1581,Status__c,Review,Archive,ironclad_export_2026-06-29_174904_all (IC-4002),PREVIEW,2026-06-29T10:54:09.390495
a0BWR000009RyNt2AK,AGR-1598,Status__c,Review,Sign,ironclad_export_2026-06-29_174904_all (IC-4199),PREVIEW,2026-06-29T10:54:09.390502
a0BWR000009S1X32AK,AGR-1599,Status__c,Review,Sign,ironclad_export_2026-06-29_174904_all (IC-4205),PREVIEW,2026-06-29T10:54:09.390509
a0BWR000009S1bt2AC,AGR-1600,Status__c,Review,Sign,ironclad_export_2026-06-29_174904_all (IC-4201),PREVIEW,2026-06-29T10:54:09.390515
a0BWR000009S1gj2AC,AGR-1601,Status__c,Review,Sign,ironclad_export_2026-06-29_174904_all (IC-4200),PREVIEW,2026-06-29T10:54:09.390522
a0BWR000009S35p2AC,AGR-1602,Status__c,,Sign,ironclad_export_2026-06-29_174904_all (IC-4206),PREVIEW,2026-06-29T10:54:09.390529
