SF_Id,Name,Field,Before,After,Source,Timestamp,Action,Provenance
006WR00000wkA7BYAU,Town & Country Mobile Homes,Property_Category__c,Cat 1,,fix/2026-05-13-strict-filter-blank-misleading-cat1.py,2026-05-13T12:35:19,blanked,strict_cat=Cat 2 dist_to_serviceable=574ft
006WR00000wkA7oYAE,Terrace Garden Apartments,Property_Category__c,Cat 1,,fix/2026-05-13-strict-filter-blank-misleading-cat1.py,2026-05-13T12:35:19,blanked,strict_cat=Cat 2 dist_to_serviceable=544ft
006WR00000wkA9EYAU,Allora Georgetown,Property_Category__c,Cat 1,,fix/2026-05-13-strict-filter-blank-misleading-cat1.py,2026-05-13T12:35:19,blanked,strict_cat=Cat 2 dist_to_serviceable=653ft
006WR00000wkABtYAM,Elan Alicante Apartments,Property_Category__c,Cat 1,,fix/2026-05-13-strict-filter-blank-misleading-cat1.py,2026-05-13T12:35:19,blanked,strict_cat=Cat 3 dist_to_serviceable=3202ft
006WR00000wkAkQYAU,Villeta Apartments,Property_Category__c,Cat 1,,fix/2026-05-13-strict-filter-blank-misleading-cat1.py,2026-05-13T12:35:19,blanked,strict_cat=Cat 2 dist_to_serviceable=1087ft
006WR00000wkAkRYAU,2 Vista Vallley Apartments/LONGMORE ESTATES CONDOS NORTH & SOUTH,Property_Category__c,Cat 1,,fix/2026-05-13-strict-filter-blank-misleading-cat1.py,2026-05-13T12:35:19,blanked,strict_cat=Cat 2 dist_to_serviceable=1685ft
006WR00000wkBTsYAM,The Cape,Property_Category__c,Cat 1,,fix/2026-05-13-strict-filter-blank-misleading-cat1.py,2026-05-13T12:35:19,blanked,strict_cat=Cat 2 dist_to_serviceable=510ft
006WR00000wkC7RYAU,Graysill Casitas,Property_Category__c,Cat 1,,fix/2026-05-13-strict-filter-blank-misleading-cat1.py,2026-05-13T12:35:19,blanked,strict_cat=Cat 2 dist_to_serviceable=1322ft
006WR00000wkC7VYAU,The PLace at El Prado,Property_Category__c,Cat 1,,fix/2026-05-13-strict-filter-blank-misleading-cat1.py,2026-05-13T12:35:19,blanked,strict_cat=Cat 2 dist_to_serviceable=693ft
006WR00000wkC7XYAU,Villas Mesa 2,Property_Category__c,Cat 1,,fix/2026-05-13-strict-filter-blank-misleading-cat1.py,2026-05-13T12:35:19,blanked,strict_cat=Cat 2 dist_to_serviceable=798ft
006WR00000wkC7YYAU,Westmount at The District Apartments,Property_Category__c,Cat 1,,fix/2026-05-13-strict-filter-blank-misleading-cat1.py,2026-05-13T12:35:19,blanked,strict_cat=Cat 2 dist_to_serviceable=1387ft
006WR00000wkCjlYAE,Cantebria Senior Homes,Property_Category__c,Cat 1,,fix/2026-05-13-strict-filter-blank-misleading-cat1.py,2026-05-13T12:35:19,blanked,strict_cat=Cat 2 dist_to_serviceable=719ft
006WR00000wkCjmYAE,Spyglass Point,Property_Category__c,Cat 1,,fix/2026-05-13-strict-filter-blank-misleading-cat1.py,2026-05-13T12:35:19,blanked,strict_cat=Cat 3 dist_to_serviceable=2595ft
006WR00000wkCkbYAE,Colina De La Costa HOA,Property_Category__c,Cat 1,,fix/2026-05-13-strict-filter-blank-misleading-cat1.py,2026-05-13T12:35:19,blanked,strict_cat=Cat 3 dist_to_serviceable=3241ft
006WR00000wkCkcYAE,Caringa Way Condos,Property_Category__c,Cat 1,,fix/2026-05-13-strict-filter-blank-misleading-cat1.py,2026-05-13T12:35:19,blanked,strict_cat=Cat 3 dist_to_serviceable=3119ft
