SF_Id,SF_Name,Field,Before,After,Source,Action,Timestamp
006WR00000wkEcAYAU,Creekside Apartments,Next_Action__c,,Need PAL addendum and Bulk Agreement,tracker_xlsb_2026-04-28,PREVIEW,2026-04-28T16:14:18.971900
006WR00000wkEcAYAU,Creekside Apartments,Next_Action_Date__c,,2026-04-28,tracker_xlsb_2026-04-28,PREVIEW,2026-04-28T16:14:18.971918
006WR00000xwGf7YAE,Killeen_MDU_117-121_W_Avenue_A,Next_Action__c,,Perfoming walks on 4/15,tracker_xlsb_2026-04-28,PREVIEW,2026-04-28T16:14:18.971928
006WR00000xwGf7YAE,Killeen_MDU_117-121_W_Avenue_A,Next_Action_Date__c,,2026-04-28,tracker_xlsb_2026-04-28,PREVIEW,2026-04-28T16:14:18.971937
006WR00000wkEbUYAU,1807 Mulford Apartments_Colt RE,Next_Action__c,,Need Data and approval to walk,tracker_xlsb_2026-04-28,PREVIEW,2026-04-28T16:14:18.971945
006WR00000wkEbUYAU,1807 Mulford Apartments_Colt RE,Next_Action_Date__c,,2026-04-28,tracker_xlsb_2026-04-28,PREVIEW,2026-04-28T16:14:18.971952
006WR00000wkDtMYAU,Fort_Hood MHP,Next_Action__c,,Need Customer sign up for us to build,tracker_xlsb_2026-04-28,PREVIEW,2026-04-28T16:14:18.971959
006WR00000wkDtMYAU,Fort_Hood MHP,Next_Action_Date__c,,2026-04-28,tracker_xlsb_2026-04-28,PREVIEW,2026-04-28T16:14:18.971965
006WR00000wkEbRYAU,Jerome Apartments_Colt RE,Next_Action__c,,Need Data and approval to walk,tracker_xlsb_2026-04-28,PREVIEW,2026-04-28T16:14:18.971972
006WR00000wkEbRYAU,Jerome Apartments_Colt RE,Next_Action_Date__c,,2026-04-28,tracker_xlsb_2026-04-28,PREVIEW,2026-04-28T16:14:18.971979
006WR00000wkEbQYAU,307 N Apartments_Colt RE,Next_Action__c,,Need Data and approval to walk,tracker_xlsb_2026-04-28,PREVIEW,2026-04-28T16:14:18.971985
006WR00000wkEbQYAU,307 N Apartments_Colt RE,Next_Action_Date__c,,2026-04-28,tracker_xlsb_2026-04-28,PREVIEW,2026-04-28T16:14:18.971992
006WR00000wkEbOYAU,Patriot Place,Next_Action__c,,Need Marketing decision to build to unit or to NID,tracker_xlsb_2026-04-28,PREVIEW,2026-04-28T16:14:18.972002
006WR00000wkEbOYAU,Patriot Place,Next_Action_Date__c,,2026-04-28,tracker_xlsb_2026-04-28,PREVIEW,2026-04-28T16:14:18.972009
006WR00000wkEbSYAU,Saffari Apts_Colt RE,Next_Action__c,,Need Data and approval to walk,tracker_xlsb_2026-04-28,PREVIEW,2026-04-28T16:14:18.972015
