SF_Id,SF_Name,Field,Before,After,Source,Action,Timestamp
006WR00000wkEcAYAU,Creekside Apartments,Next_Action__c,,Need PAL addendum and Bulk Agreement,tracker_xlsb_2026-04-28,PREVIEW,2026-04-28T16:14:03.542552
006WR00000wkEcAYAU,Creekside Apartments,Next_Action_Date__c,,2026-04-28,tracker_xlsb_2026-04-28,PREVIEW,2026-04-28T16:14:03.542577
006WR00000xwGf7YAE,Killeen_MDU_117-121_W_Avenue_A,Next_Action__c,,Perfoming walks on 4/15,tracker_xlsb_2026-04-28,PREVIEW,2026-04-28T16:14:03.542596
006WR00000xwGf7YAE,Killeen_MDU_117-121_W_Avenue_A,Next_Action_Date__c,,2026-04-28,tracker_xlsb_2026-04-28,PREVIEW,2026-04-28T16:14:03.542609
006WR00000wkEbUYAU,1807 Mulford Apartments_Colt RE,Next_Action__c,,Need Data and approval to walk,tracker_xlsb_2026-04-28,PREVIEW,2026-04-28T16:14:03.542620
006WR00000wkEbUYAU,1807 Mulford Apartments_Colt RE,Next_Action_Date__c,,2026-04-28,tracker_xlsb_2026-04-28,PREVIEW,2026-04-28T16:14:03.542630
006WR00000wkDtMYAU,Fort_Hood MHP,Next_Action__c,,Need Customer sign up for us to build,tracker_xlsb_2026-04-28,PREVIEW,2026-04-28T16:14:03.542640
006WR00000wkDtMYAU,Fort_Hood MHP,Next_Action_Date__c,,2026-04-28,tracker_xlsb_2026-04-28,PREVIEW,2026-04-28T16:14:03.542649
006WR00000wkEbRYAU,Jerome Apartments_Colt RE,Next_Action__c,,Need Data and approval to walk,tracker_xlsb_2026-04-28,PREVIEW,2026-04-28T16:14:03.542659
006WR00000wkEbRYAU,Jerome Apartments_Colt RE,Next_Action_Date__c,,2026-04-28,tracker_xlsb_2026-04-28,PREVIEW,2026-04-28T16:14:03.542668
006WR00000wkEbQYAU,307 N Apartments_Colt RE,Next_Action__c,,Need Data and approval to walk,tracker_xlsb_2026-04-28,PREVIEW,2026-04-28T16:14:03.542677
006WR00000wkEbQYAU,307 N Apartments_Colt RE,Next_Action_Date__c,,2026-04-28,tracker_xlsb_2026-04-28,PREVIEW,2026-04-28T16:14:03.542687
006WR00000wkEbOYAU,Patriot Place,Next_Action__c,,Need Marketing decision to build to unit or to NID,tracker_xlsb_2026-04-28,PREVIEW,2026-04-28T16:14:03.542700
006WR00000wkEbOYAU,Patriot Place,Next_Action_Date__c,,2026-04-28,tracker_xlsb_2026-04-28,PREVIEW,2026-04-28T16:14:03.542710
006WR00000wkEbSYAU,Saffari Apts_Colt RE,Next_Action__c,,Need Data and approval to walk,tracker_xlsb_2026-04-28,PREVIEW,2026-04-28T16:14:03.542718
006WR00000wkEbSYAU,Saffari Apts_Colt RE,Next_Action_Date__c,,2026-04-28,tracker_xlsb_2026-04-28,PREVIEW,2026-04-28T16:14:03.542727
006WR00000wkEbTYAU,Soaring Eagle Apartments_Colt RE,Next_Action__c,,Need Data and approval to walk,tracker_xlsb_2026-04-28,PREVIEW,2026-04-28T16:14:03.542736
006WR00000wkEbTYAU,Soaring Eagle Apartments_Colt RE,Next_Action_Date__c,,2026-04-28,tracker_xlsb_2026-04-28,PREVIEW,2026-04-28T16:14:03.542746
006WR00000wkEbPYAU,1507 N 8th Apartments_Colt RE,Next_Action__c,,Need Data and approval to walk,tracker_xlsb_2026-04-28,PREVIEW,2026-04-28T16:14:03.542754
006WR00000wkEbPYAU,1507 N 8th Apartments_Colt RE,Next_Action_Date__c,,2026-04-28,tracker_xlsb_2026-04-28,PREVIEW,2026-04-28T16:14:03.542763
006WR00000wk9RuYAI,Town East,Next_Action__c,,Perfoming walks on 4/15,tracker_xlsb_2026-04-28,PREVIEW,2026-04-28T16:14:03.542772
006WR00000wk9RuYAI,Town East,Next_Action_Date__c,,2026-04-28,tracker_xlsb_2026-04-28,PREVIEW,2026-04-28T16:14:03.542780
006WR00000wkEcBYAU,Heritage of Newark (FKA Newark Beach Estates),Next_Action__c,,Need Bulk,tracker_xlsb_2026-04-28,PREVIEW,2026-04-28T16:14:03.542789
006WR00000wkEcBYAU,Heritage of Newark (FKA Newark Beach Estates),Next_Action_Date__c,,2026-04-28,tracker_xlsb_2026-04-28,PREVIEW,2026-04-28T16:14:03.542798
006WR00000wkDtzYAE,Whispering Hills Apartments,Next_Action__c,,Perfoming walks on 4/15,tracker_xlsb_2026-04-28,PREVIEW,2026-04-28T16:14:03.542812
006WR00000wkDtzYAE,Whispering Hills Apartments,Next_Action_Date__c,,2026-04-28,tracker_xlsb_2026-04-28,PREVIEW,2026-04-28T16:14:03.542821
006WR00000wkEcDYAU,The 1001 Apartments,Next_Action__c,,PAL addedndum and Marketing,tracker_xlsb_2026-04-28,PREVIEW,2026-04-28T16:14:03.542830
006WR00000wkEcDYAU,The 1001 Apartments,Next_Action_Date__c,,2026-04-28,tracker_xlsb_2026-04-28,PREVIEW,2026-04-28T16:14:03.542838
006WR00000wkEc8YAE,Bristol Square Apartments,Next_Action__c,,PAL addedndum and Marketing,tracker_xlsb_2026-04-28,PREVIEW,2026-04-28T16:14:03.542847
006WR00000wkEc8YAE,Bristol Square Apartments,Next_Action_Date__c,,2026-04-28,tracker_xlsb_2026-04-28,PREVIEW,2026-04-28T16:14:03.542856
006WR00000wkEb1YAE,Horizon Heights,Next_Action__c,,Need Data and approval to walk,tracker_xlsb_2026-04-28,PREVIEW,2026-04-28T16:14:03.542865
006WR00000wkEb1YAE,Horizon Heights,Next_Action_Date__c,,2026-04-28,tracker_xlsb_2026-04-28,PREVIEW,2026-04-28T16:14:03.542874
006WR00000wkEcEYAU,Northampton Court Condominiums,Next_Action__c,,PAL addendum and Marketing,tracker_xlsb_2026-04-28,PREVIEW,2026-04-28T16:14:03.542882
006WR00000wkEcEYAU,Northampton Court Condominiums,Next_Action_Date__c,,2026-04-28,tracker_xlsb_2026-04-28,PREVIEW,2026-04-28T16:14:03.542891
006WR00000wkEboYAE,The Bungalows,Next_Action__c,"Build approved - NID construction greenlit, target serviceable by 5/31/2026",Owner approval to build,tracker_xlsb_2026-04-28,PREVIEW,2026-04-28T16:14:03.542901
006WR00000wkEboYAE,The Bungalows,Next_Action_Date__c,2026-05-31,2026-04-28,tracker_xlsb_2026-04-28,PREVIEW,2026-04-28T16:14:03.542913
