SF_Id,Agreement_Name,Field,Before,After,Source,Action,Timestamp
a0BWR0000083yB72AI,AGR-0036,Status__c,Review,Completed,ironclad_export_2026-04-29 (IC-2900),PREVIEW,2026-04-28T17:05:26.456497
a0BWR0000083yB72AI,AGR-0036,Signed_Date__c,,2026-03-26,ironclad_export_2026-04-29 (IC-2900),PREVIEW,2026-04-28T17:05:26.456515
a0BWR0000083yB82AI,AGR-0037,Status__c,Review,Completed,ironclad_export_2026-04-29 (IC-2911),PREVIEW,2026-04-28T17:05:26.456527
a0BWR0000083yB82AI,AGR-0037,Signed_Date__c,,2026-03-31,ironclad_export_2026-04-29 (IC-2911),PREVIEW,2026-04-28T17:05:26.456537
a0BWR0000083yB92AI,AGR-0038,Status__c,Review,Completed,ironclad_export_2026-04-29 (IC-2896),PREVIEW,2026-04-28T17:05:26.456545
a0BWR0000083yB92AI,AGR-0038,Signed_Date__c,,2026-03-26,ironclad_export_2026-04-29 (IC-2896),PREVIEW,2026-04-28T17:05:26.456552
a0BWR0000083yBA2AY,AGR-0039,Status__c,Review,Completed,ironclad_export_2026-04-29 (IC-2909),PREVIEW,2026-04-28T17:05:26.456559
a0BWR0000083yBA2AY,AGR-0039,Signed_Date__c,,2026-03-31,ironclad_export_2026-04-29 (IC-2909),PREVIEW,2026-04-28T17:05:26.456566
a0BWR0000083yBC2AY,AGR-0041,Status__c,Paused,Cancelled,ironclad_export_2026-04-29 (IC-2181),PREVIEW,2026-04-28T17:05:26.456573
a0BWR0000083yBE2AY,AGR-0043,Status__c,Paused,Cancelled,ironclad_export_2026-04-29 (IC-2182),PREVIEW,2026-04-28T17:05:26.456580
a0BWR0000083yBF2AY,AGR-0044,Status__c,Review,Completed,ironclad_export_2026-04-29 (IC-277),PREVIEW,2026-04-28T17:05:26.456587
a0BWR0000083yBF2AY,AGR-0044,Signed_Date__c,,2026-03-27,ironclad_export_2026-04-29 (IC-277),PREVIEW,2026-04-28T17:05:26.456594
a0BWR0000083yBG2AY,AGR-0045,Status__c,Review,Paused,ironclad_export_2026-04-29 (IC-279),PREVIEW,2026-04-28T17:05:26.456602
a0BWR0000083yGv2AI,AGR-0396,Status__c,Paused,Cancelled,ironclad_export_2026-04-29 (IC-2154),PREVIEW,2026-04-28T17:05:26.456609
a0BWR0000083yKb2AI,AGR-0524,Status__c,Review,Completed,ironclad_export_2026-04-29 (IC-2795),PREVIEW,2026-04-28T17:05:26.456615
a0BWR0000083yKb2AI,AGR-0524,Signed_Date__c,,2026-03-26,ironclad_export_2026-04-29 (IC-2795),PREVIEW,2026-04-28T17:05:26.456622
a0BWR0000083yKc2AI,AGR-0525,Status__c,Review,Completed,ironclad_export_2026-04-29 (IC-2906),PREVIEW,2026-04-28T17:05:26.456628
a0BWR0000083yKc2AI,AGR-0525,Signed_Date__c,,2026-03-31,ironclad_export_2026-04-29 (IC-2906),PREVIEW,2026-04-28T17:05:26.456635
a0BWR0000083yKk2AI,AGR-0533,Status__c,Completed,Completed,ironclad_export_2026-04-29 (IC-74),PREVIEW,2026-04-28T17:05:26.456642
a0BWR0000083yKk2AI,AGR-0533,Signed_Date__c,2025-04-03,2025-04-04,ironclad_export_2026-04-29 (IC-74),PREVIEW,2026-04-28T17:05:26.456649
a0BWR0000083yOm2AI,AGR-0783,Status__c,Completed,Completed,ironclad_export_2026-04-29 (IC-87),PREVIEW,2026-04-28T17:05:26.456656
a0BWR0000083yOm2AI,AGR-0783,Signed_Date__c,2025-03-28,2025-04-01,ironclad_export_2026-04-29 (IC-87),PREVIEW,2026-04-28T17:05:26.456663
a0BWR0000083yTV2AY,AGR-0876,Status__c,Review,Paused,ironclad_export_2026-04-29 (IC-1695),PREVIEW,2026-04-28T17:05:26.456669
a0BWR0000083yTo2AI,AGR-0895,Status__c,Completed,Completed,ironclad_export_2026-04-29 (IC-110),PREVIEW,2026-04-28T17:05:26.456676
a0BWR0000083yTo2AI,AGR-0895,Signed_Date__c,2025-12-02,2025-12-04,ironclad_export_2026-04-29 (IC-110),PREVIEW,2026-04-28T17:05:26.456683
a0BWR0000083yTu2AI,AGR-0901,Status__c,Completed,Completed,ironclad_export_2026-04-29 (IC-117),PREVIEW,2026-04-28T17:05:26.456690
a0BWR0000083yTu2AI,AGR-0901,Signed_Date__c,2025-03-07,2025-03-10,ironclad_export_2026-04-29 (IC-117),PREVIEW,2026-04-28T17:05:26.456696
a0BWR0000083yUV2AY,AGR-0938,Status__c,Review,Paused,ironclad_export_2026-04-29 (IC-1696),PREVIEW,2026-04-28T17:05:26.456703
a0BWR0000083yUu2AI,AGR-0963,Status__c,Completed,Completed,ironclad_export_2026-04-29 (IC-150),PREVIEW,2026-04-28T17:05:26.456709
a0BWR0000083yUu2AI,AGR-0963,Signed_Date__c,2025-04-10,2025-04-11,ironclad_export_2026-04-29 (IC-150),PREVIEW,2026-04-28T17:05:26.456717
a0BWR0000083yV42AI,AGR-0973,Status__c,Completed,Completed,ironclad_export_2026-04-29 (IC-161),PREVIEW,2026-04-28T17:05:26.456724
