SF_Id,Agreement_Name,Field,Before,After,Source,Action,Timestamp
a0BWR0000083yBI2AY,AGR-0047,Status__c,Review,Sign,ironclad_export_2026-06-29_174904_all (IC-2079),UPDATE,2026-06-29T10:54:32.023033
a0BWR0000083yGE2AY,AGR-0353,Status__c,Review,Sign,ironclad_export_2026-06-29_174904_all (IC-4203),UPDATE,2026-06-29T10:54:32.023056
a0BWR000008xBqr2AE,AGR-1575,Status__c,Review,Sign,ironclad_export_2026-06-29_174904_all (IC-3900),UPDATE,2026-06-29T10:54:32.023068
a0BWR000008xCF32AM,AGR-1576,Status__c,Review,Sign,ironclad_export_2026-06-29_174904_all (IC-3901),UPDATE,2026-06-29T10:54:32.023077
a0BWR000008xHQ12AM,AGR-1578,Status__c,Review,Sign,ironclad_export_2026-06-29_174904_all (IC-3904),UPDATE,2026-06-29T10:54:32.023084
a0BWR000008xKcP2AU,AGR-1581,Status__c,Review,Archive,ironclad_export_2026-06-29_174904_all (IC-4002),UPDATE,2026-06-29T10:54:32.023092
a0BWR000009RyNt2AK,AGR-1598,Status__c,Review,Sign,ironclad_export_2026-06-29_174904_all (IC-4199),UPDATE,2026-06-29T10:54:32.023099
a0BWR000009S1X32AK,AGR-1599,Status__c,Review,Sign,ironclad_export_2026-06-29_174904_all (IC-4205),UPDATE,2026-06-29T10:54:32.023107
a0BWR000009S1bt2AC,AGR-1600,Status__c,Review,Sign,ironclad_export_2026-06-29_174904_all (IC-4201),UPDATE,2026-06-29T10:54:32.023114
a0BWR000009S1gj2AC,AGR-1601,Status__c,Review,Sign,ironclad_export_2026-06-29_174904_all (IC-4200),UPDATE,2026-06-29T10:54:32.023121
a0BWR000009S35p2AC,AGR-1602,Status__c,,Sign,ironclad_export_2026-06-29_174904_all (IC-4206),UPDATE,2026-06-29T10:54:32.023128
