SF_Id,Name,Field,Before,After,TriggeringAgreements,Source,Action,Timestamp
006WR00000wk1EEYAY,Henderson Terrace Apartments,StageName,Under Contract,EMA/Bulk Completed,AGR-1179 EMA (Completed),bulk_advance_ema_bulk_stage_2026-04-28.py,PREVIEW,2026-04-28T14:55:45.360859
006WR00000wk1EGYAY,Monaghan Apartments,StageName,Under Contract,EMA/Bulk Completed,AGR-1186 EMA (Completed),bulk_advance_ema_bulk_stage_2026-04-28.py,PREVIEW,2026-04-28T14:55:45.360889
006WR00000wk1EHYAY,Boyd South Apartments,StageName,Under Contract,EMA/Bulk Completed,AGR-1189 EMA (Completed),bulk_advance_ema_bulk_stage_2026-04-28.py,PREVIEW,2026-04-28T14:55:45.360903
006WR00000wk1EIYAY,Eagle Ridge Terrace Apartments,StageName,Under Contract,EMA/Bulk Completed,AGR-1192 EMA (Completed),bulk_advance_ema_bulk_stage_2026-04-28.py,PREVIEW,2026-04-28T14:55:45.360914
006WR00000wk1EJYAY,Aspen Ridge,StageName,Under Contract,EMA/Bulk Completed,AGR-1195 EMA (Completed),bulk_advance_ema_bulk_stage_2026-04-28.py,PREVIEW,2026-04-28T14:55:45.360924
006WR00000wk1EKYAY,Overlook 380,StageName,Under Contract,EMA/Bulk Completed,AGR-1199 EMA (Completed),bulk_advance_ema_bulk_stage_2026-04-28.py,PREVIEW,2026-04-28T14:55:45.360934
006WR00000wk1ELYAY,Arcos De Mesa,StageName,Under Contract,EMA/Bulk Completed,AGR-1203 EMA (Completed),bulk_advance_ema_bulk_stage_2026-04-28.py,PREVIEW,2026-04-28T14:55:45.360944
006WR00000wk1EMYAY,Hunters Pointe (Mesa),StageName,Under Contract,EMA/Bulk Completed,AGR-1207 EMA (Completed),bulk_advance_ema_bulk_stage_2026-04-28.py,PREVIEW,2026-04-28T14:55:45.360953
006WR00000wk1ENYAY,Valencia Apartments,StageName,Under Contract,EMA/Bulk Completed,AGR-1210 EMA (Completed),bulk_advance_ema_bulk_stage_2026-04-28.py,PREVIEW,2026-04-28T14:55:45.360974
006WR00000wk1EOYAY,Midwest Patio Home Apartments,StageName,Under Contract,EMA/Bulk Completed,AGR-1214 EMA (Completed),bulk_advance_ema_bulk_stage_2026-04-28.py,PREVIEW,2026-04-28T14:55:45.360984
006WR00000wk1EPYAY,Big Sky Patio Home Apartments,StageName,Under Contract,EMA/Bulk Completed,AGR-1218 EMA (Completed),bulk_advance_ema_bulk_stage_2026-04-28.py,PREVIEW,2026-04-28T14:55:45.360994
