SF_Id,Name,Field,Before,After,Source,Timestamp,Action,Provenance
006WR00000yuqW4YAI,Beach Street Encinitas,Property_Category__c,Cat 2,Cat 1,fix/2026-05-13-cat1-corrections-missed-from-morning-push.py,2026-05-13T11:24:35,updated,dist=50.2ft nearest=513 BEACH ST ENCINITAS CA 92024
006WR00000yutTtYAI,Quentin Court,Property_Category__c,Cat 2,Cat 1,fix/2026-05-13-cat1-corrections-missed-from-morning-push.py,2026-05-13T11:24:35,updated,dist=40.0ft nearest=662 QUENTIN CT ENCINITAS CA 92024
006WR00000yv9vJYAQ,Promenade HOA,Property_Category__c,Cat 2,Cat 1,fix/2026-05-13-cat1-corrections-missed-from-morning-push.py,2026-05-13T11:24:35,updated,dist=22.2ft nearest=3451 CAMINO MICHELLE CARLSBAD CA 92009
006WR00000yw9YHYAY,Seaside Highlannds HOA,Property_Category__c,Cat 2,Cat 1,fix/2026-05-13-cat1-corrections-missed-from-morning-push.py,2026-05-13T11:24:35,updated,dist=62.0ft nearest=1002 SCARLET WAY ENCINITAS CA 92024
006WR00000ywLuMYAU,Flair Encinitas HOA,Property_Category__c,Cat 2,Cat 1,fix/2026-05-13-cat1-corrections-missed-from-morning-push.py,2026-05-13T11:24:35,updated,dist=221.7ft nearest=404 DUNSMORE CT ENCINITAS CA 92024
006WR00000ywQveYAE,La Costa Town Square,Property_Category__c,Cat 2,Cat 1,fix/2026-05-13-cat1-corrections-missed-from-morning-push.py,2026-05-13T11:24:35,updated,dist=127.7ft nearest=3439 VIA MONTEBELLO CARLSBAD CA 92009
006WR00000ywSqzYAE,Sandalwood HOA,Property_Category__c,Cat 2,Cat 1,fix/2026-05-13-cat1-corrections-missed-from-morning-push.py,2026-05-13T11:24:35,updated,dist=62.1ft nearest=434 SANDALWOOD CT ENCINITAS CA 92024
006WR00000ywSuDYAU,Santa Fe Business Park,Property_Category__c,Cat 2,Cat 1,fix/2026-05-13-cat1-corrections-missed-from-morning-push.py,2026-05-13T11:24:35,updated,dist=97.9ft nearest=447 ENCINITAS BLVD ENCINITAS CA 92024
006WR00000ywT8jYAE,Emerald Point HOA,Property_Category__c,Cat 2,Cat 1,fix/2026-05-13-cat1-corrections-missed-from-morning-push.py,2026-05-13T11:24:35,updated,dist=321.0ft nearest=2393 GEM VIEW DR OCEANSIDE CA 92056
006WR000011cWnNYAU,6302 Boyd Street,Property_Category__c,Cat 2,Cat 1,fix/2026-05-13-cat1-corrections-missed-from-morning-push.py,2026-05-13T11:24:35,updated,dist=63.3ft nearest=6310 BOYD ST UNIT 5 OMAHA NE 68104
