opp_id,opp_name,opp_stage,opp_state,current_sitetracker_project_id,st_count_for_opp,st_ids,st_names
006WR00000wkEc8YAE,Bristol Square Apartments,PAL/ROE Complete,NE,,1,a2XVT000002iWRF2A2,P-006738
006WR00000xwGIXYA2,Omaha_MDU_6303 Taylor Cir,PAL/ROE Complete,NE,,1,a2XVT000000PmSu2AK,P-005791
006WR00000wk1ETYAY,Centennial Patio Home Apartments,Marketing/Bulk Complete,ID,,1,a2XVT0000006dhp2AA,P-004887
006WR00000wk1EPYAY,Big Sky Patio Home Apartments,Marketing/Bulk Complete,ID,,1,a2XVT0000006doH2AQ,P-004889
006WR00000xvxiwYAA,Omaha_MDU_4502 N 49th St,PAL/ROE Complete,NE,,1,a2XVT000000Ahzl2AC,P-005408
006WR00000wkEbYYAU,Trailpoint by Trion Living / Trailpoint on Highline,Marketing/Bulk Complete,CO,,1,a2XVT000000TIUb2AO,P-005802
006WR00000wkEcjYAE,Lakeside Apartment Homes,Marketing/Bulk Complete,TX,,1,a2XVT0000004wdJ2AQ,P-004627
006WR00000xv6y2YAA,Killeen_MDU_209 E Dean Ave,PAL/ROE Complete,TX,,1,a2XVT000002zAu92AE,P-006777
006WR00000xw7SBYAY,Omaha_MDU_4005 Hartman Circle,PAL/ROE Complete,NE,,1,a2XVT000000gHKb2AM,P-006010
006WR00000wkEcaYAE,Wheatbaker Patio Home Apartments,Marketing/Bulk Complete,MT,,1,a2XVT00000006Gj2AI,P-003398
006WR00000wkEceYAE,Pheasant Run Apartments,Marketing/Bulk Complete,IA,,5,a2XVT0000003k7x2AA; a2XVT000001RK3h2AG; a2XVT000001RUCj2AO; a2XVT000001Zul72AC; a2XVT000001fNOH2A2,P-004260; P-006394; P-006397; P-006415; P-006430
006WR00000xwHCzYAM,Killeen_MDU_601 Harbour Ave,PAL/ROE Complete,TX,,1,a2XVT000002zAMH2A2,P-006775
006WR00000wkEcHYAU,Avalon Wolf Ranch (f/k/a Retreat at Wolf Ranch),Marketing/Bulk Complete,TX,,1,a2X4x000002oAl1EAE,P-000889
006WR00000wkEcOYAU,Avalon at Castle Hills (f/k/a Lakeway Castle Hills),Marketing/Bulk Complete,TX,,1,a2X4x000002oCucEAE,P-001059
006WR00000wkEcNYAU,Eaves by Avalon (f/k/a Wimberly Apartments),Marketing/Bulk Complete,TX,,1,a2X4x000003CpmlEAC,P-002526
006WR00000wkDu2YAE,Palmero by the Park (f/k/a Overlook by the Park),PAL/ROE Complete,TX,,1,a2X4x000003CrnWEAS,P-002754
006WR00000wkEcWYAU,Twin Palms Condominiums,Marketing/Bulk Complete,AZ,,1,a2X4x000002ivesEAA,P-003210
006WR00000wkEclYAE,Lucille on Roosevelt,Marketing/Bulk Complete,WA,,1,a2X4x000002iw61EAA,P-003272
006WR00000wkEbMYAU,Gloria Homes,PAL/ROE Complete,CA,,1,a2XVT00000000cj2AA,P-003282
006WR00000xuzq7YAA,Omaha_MDU_4803 Boyd St Apartments,PAL/ROE Complete,NE,,1,a2XVT000000REjd2AG,P-005801
006WR00000xvYz4YAE,Omaha_MDU_Caroline,PAL/ROE Complete,NE,,1,a2XVT0000035dOn2AI,P-006806
006WR00000xvBUcYAM,Omaha_MDU_4023 HAMILTON ST,PAL/ROE Complete,NE,,1,a2XVT000002l5kf2AA,P-006741
006WR00000wk1EEYAY,Henderson Terrace Apartments,Marketing/Bulk Complete,TX,,2,a2XVT00000008X32AI; a2XVT0000003yNp2AI,P-003501; P-004312
006WR00000wk1EYYAY,Cielo Apartments,Marketing/Bulk Complete,CA,,1,a2XVT00000014sn2AA,P-003943
006WR00000wkEcgYAE,Northampton Arms Apartments,Marketing/Bulk Complete,NE,,2,a2XVT0000001N7R2AU; a2XVT000001CZvt2AG,P-003989; P-006333
006WR00000wkDu7YAE,San Montego Luxury Apartments,PAL/ROE Complete,AZ,,1,a2XVT0000001mVd2AI,P-004136
006WR00000wkEcbYAE,Alexandra Apartments,Marketing/Bulk Complete,IA,,3,a2XVT0000001rzx2AA; a2XVT000001Lkor2AC; a2XVT000001fNWL2A2,P-004153; P-006376; P-006431
006WR00000wkEcnYAE,Paloma Gardens Apartments,Marketing/Bulk Complete,TX,,1,a2XVT0000003zRx2AI,P-004314
006WR00000wkDttYAE,Legend of Fort Worth: Senior Living_OneSource project,On Hold,TX,,1,a2XVT0000004HyL2AU,P-004481
006WR00000wkEchYAE,Watervue Apartments,Marketing/Bulk Complete,TX,,1,a2XVT0000004I6P2AU,P-004485
006WR00000wkEciYAE,Discovery Village at Alliance Town Center,Marketing/Bulk Complete,TX,,1,a2XVT0000004ICr2AM,P-004487
006WR00000wk1ENYAY,Valencia Apartments,Marketing/Bulk Complete,ID,,1,a2XVT0000006dWX2AY,P-004886
006WR00000wk1EQYAY,Hitt Road Patio Home Apartments,Marketing/Bulk Complete,ID,,1,a2XVT0000006djR2AQ,P-004888
006WR00000wk1EOYAY,Midwest Patio Home Apartments,Marketing/Bulk Complete,ID,,1,a2XVT0000006dpt2AA,P-004890
006WR00000wkEcoYAE,Mallard Run Apartments,Marketing/Bulk Complete,TX,,1,a2XVT0000008kwv2AA,P-005179
006WR00000y3jsTYAQ,Encinitas_MDU_Saxonay at Encinitas Ranch,PAL/ROE Complete,CA,,1,a2XVT0000008lrN2AQ,P-005180
006WR00000xvyiEYAQ,Omaha_MDU_5240 Ames Ave,PAL/ROE Complete,NE,,1,a2XVT0000009Wv72AE,P-005192
006WR00000y2k2dYAA,Omaha_MDU_3344-3348 Larimore Ave,PAL/ROE Complete,NE,,1,a2XVT000000AhoT2AS,P-005407
006WR00000wk1EGYAY,Monaghan Apartments,Marketing/Bulk Complete,TX,,1,a2XVT000000AnPF2A0,P-005411
006WR00000xuz6uYAA,Omaha_MDU_Warwick Apts,Closed Lost,NE,,1,a2XVT000000DBP32AO,P-005497
006WR00000xvFDHYA2,Omaha_MDU_The Richards Apartments,PAL/ROE Complete,NE,,1,a2XVT000000DBfB2AW,P-005498
006WR00000wk1EgYAI,Sun Valley Ranch Apartments,Marketing/Bulk Complete,AZ,,1,a2XVT000000DwuD2AS,P-005524
006WR00000wk1EdYAI,Cougar Creek Apartments,Marketing/Bulk Complete,WA,,1,a2XVT000000EAcD2AW,P-005532
006WR00000wk1EMYAY,Hunters Pointe (Mesa),Marketing/Bulk Complete,AZ,,1,a2XVT000000Emft2AC,P-005538
006WR00000xwGSDYA2,Omaha_MDU_St Frances Apartments,PAL/ROE Complete,NE,,1,a2XVT000000Erqr2AC,P-005540
006WR00000wk1EaYAI,Southgate Apartments,Marketing/Bulk Complete,UT,,1,a2XVT000000GSJh2AO,P-005581
006WR00000wk1EnYAI,Hallcraft Villas Mesa 1,Marketing/Bulk Complete,AZ,,1,a2XVT000000IIBN2A4,P-005610
006WR00000xuCFqYAM,Omaha_MDU_The Redman Townhomes & Apartments,PAL/ROE Complete,NE,,1,a2XVT000000JI7h2AG,P-005702
006WR00000xtaP4YAI,Omaha_MDU_4822-4826 Sahler St Apartments,PAL/ROE Complete,NE,,1,a2XVT000000KfdJ2AS,P-005736
006WR00000xvkCFYAY,Omaha_MDU_Brewer Apartments,PAL/ROE Complete,NE,,1,a2XVT000000KgRJ2A0,P-005737
006WR00000xvsXyYAI,Omaha_MDU_4318-4324 N 48th St Apartments,PAL/ROE Complete,NE,,1,a2XVT000000Kh2P2AS,P-005738
006WR00000y3k29YAA,Omaha_MDU_9208 Ohio St,PAL/ROE Complete,NE,,1,a2XVT000000PX5d2AG,P-005787
006WR00000xwFPhYAM,Omaha_MDU_4313 N 65th St,PAL/ROE Complete,NE,,1,a2XVT000000PZYr2AO,P-005788
006WR00000xwFzBYAU,Omaha_MDU_Taylor Apartments,PAL/ROE Complete,NE,,1,a2XVT000000Pnjt2AC,P-005789
006WR00000xvbCAYAY,Omaha_MDU_4907 Ames Ave Apartments,PAL/ROE Complete,NE,,1,a2XVT000000PoJN2A0,P-005792
006WR00000xvE98YAE,Omaha_MDU_6302 Boyd St,PAL/ROE Complete,NE,,1,a2XVT000000PoXt2AK,P-005793
006WR00000wk1EkYAI,Cielo on 5th (f/k/a Equinox on 5th),Marketing/Bulk Complete,AZ,,1,a2XVT000000e7Vp2AI,P-006003
006WR00000y3NdSYAU,Omaha_MDU_Benson Crest Apartments 2,PAL/ROE Complete,NE,,1,a2XVT000000eNFd2AM,P-006006
006WR00000xvEU6YAM,Omaha_MDU_6406 Boyd St,PAL/ROE Complete,NE,,1,a2XVT000000fQo92AE,P-006007
