Id,Name,StageName,Owner,Property_Address,Property_City,Property_State,Property_Zip,current_category,franchise_type,suggested_category,distance_ft,nearest_fiber_addr,nearest_fdh,via_optk,change_type,geocode_note
006WR00000wkDt6YAE,612-616 N 46 St,Prospects,Chuck McNeely,612 N 46TH ST OMAHA NE 68132,Omaha,NE,68132,Cat 1,In-Franchise,Cat 1,53.7,4602 1/2 CALIFORNIA ST OMAHA NE 68132,FDH24,,no_change,"612 N 46TH ST, OMAHA, NE, 68132"
006WR00000wkDt7YAE,Grant Ridge Apartments,Prospects,Chuck McNeely,640 & 802 N 46TH ST OMAHA NE 68132,Omaha,NE,68132,Cat 1,In-Franchise,Cat 1,50.6,816 N 46TH ST UNIT 3 OMAHA NE 68132,FDH24,,no_change,"802 N 46TH ST, OMAHA, NE, 68132"
006WR00000wkDt8YAE,Dimple St MHP,Prospects,Bill Holick,100 DIMPLE ST UNIT 100 KILLEEN TX 76541,Killeen,TX,76541,Cat 1,In-Franchise,Cat 1,88.9,824 W VETERANS MEMORIAL BLVD KILLEEN TX 76541,FDH12,,no_change,"100 DIMPLE ST, KILLEEN, TX, 76541"
006WR00000wkDt9YAE,Indian Creek Duplexes,Prospects,Bill Holick,302 INDIAN CREEK DR TROPHY CLUB TX 76262,Trophy Club,TX,76262,Cat 1,In-Franchise,Cat 1,82.1,302 INDIAN CREEK DR TROPHY CLUB TX 76262,FB02,,no_change,"302 INDIAN CREEK DR, TROPHY CLUB, TX, 76262"
006WR00000wkDtAYAU,Marlboro_Heights_Mobile Home_Park,Prospects,Bill Holick,2606 LEWIS ST KILLEEN TX 76543,Killeen,TX,76543,Cat 1,In-Franchise,Cat 1,84.6,901 STETSON AVE KILLEEN TX 76543,FDH09,,no_change,"2606 LEWIS ST, KILLEEN, TX, 76543"
006WR00000wkDtBYAU,KILLEEN_MDU_Henderson_Garden,Prospects,Chuck McNeely,1103 YORK AVE UNIT 1 KILLEEN TX 76541,Killeen,TX,76541,Cat 1,In-Franchise,,,,,,geocode_failed,No_Match
006WR00000wkDtCYAU,DECATUR_MDU_Private_Rd_3176_Mobile_Park,Prospects,Chuck McNeely,103 PRIVATE ROAD 3176 DECATUR TX 76234,Decatur,TX,76234,Cat 1,In-Franchise,,,,,,geocode_failed,Tie
006WR00000wkDtDYAU,Nolan Creek Mobile Park,Prospects,Bill Holick,502 HOUSTON ST KILLEEN TX 76541,Killeen,TX,76541,Cat 1,In-Franchise,Cat 1,32.7,504 HOUSTON ST KILLEEN TX 76541,FDH10,,no_change,"502 HOUSTON ST, KILLEEN, TX, 76541"
006WR00000wkDtEYAU,Killeen_MDU_408-420 E Hallmark Ave,Prospects,Bill Holick,408 E HALLMARK AVE UNIT A KILLEEN TX 76541,Killeen,TX,76541,Cat 1,In-Franchise,Cat 1,32.8,412 E HALLMARK AVE UNIT C KILLEEN TX 76541,FDH07,,no_change,"408 E HALLMARK AVE, KILLEEN, TX, 76541"
006WR00000wkDtFYAU,Kings Arms Apartment II,Prospects,Bill Holick,209 ROOT AVE UNIT 1 KILLEEN TX 76541,Killeen,TX,76541,Cat 1,In-Franchise,Cat 1,30.8,103 ROOT AVE KILLEEN TX 76541,FDH01,,no_change,"209 ROOT AVE, KILLEEN, TX, 76541"
006WR00000wkDtGYAU,HARKER_HEIGHTS_MDU_207-217 W Beeline MHP,Prospects,Bill Holick,207 W BEELINE LN UNIT 1 HARKER HEIGHTS TX 76548,Harker Heights,TX,76548,Cat 1,In-Franchise,Cat 1,30.6,207 W BEELINE LN UNIT 1 HARKER HEIGHTS TX 76548,FDH04,,no_change,"207 W BEELINE LN, HARKER HEIGHTS, TX, 76548"
006WR00000wkDtHYAU,Landmark Oak_Mobile_Park,Prospects,Bill Holick,210 E KATHEY RD UNIT 10 HARKER HEIGHTS TX 76548,Harker Heights,TX,76548,Cat 1,In-Franchise,Cat 1,24.7,210 E KATHEY RD UNIT 20 HARKER HEIGHTS TX 76548,FDH08,,no_change,"210 E KATHEY RD, HARKER HEIGHTS, TX, 76548"
