Action,SF_Id,Name,Field,Before,After,Status,Source,Timestamp
UPDATE,a0BWR0000083yBC2AY,AGR-0041,Signed_Date__c,2026-03-11,,Cancelled,2026-06-22-clear-signed-date-noncompleted.py,2026-06-22T11:29:17.689961
UPDATE,a0BWR0000083yBE2AY,AGR-0043,Signed_Date__c,2026-03-11,,Cancelled,2026-06-22-clear-signed-date-noncompleted.py,2026-06-22T11:29:17.689985
UPDATE,a0BWR0000083yBa2AI,AGR-0065,Signed_Date__c,2026-02-26,,Sign,2026-06-22-clear-signed-date-noncompleted.py,2026-06-22T11:29:17.689996
UPDATE,a0BWR0000083yBp2AI,AGR-0080,Signed_Date__c,2025-09-05,,Review,2026-06-22-clear-signed-date-noncompleted.py,2026-06-22T11:29:17.690006
UPDATE,a0BWR0000083yBy2AI,AGR-0089,Signed_Date__c,2026-02-26,,Sign,2026-06-22-clear-signed-date-noncompleted.py,2026-06-22T11:29:17.690015
UPDATE,a0BWR0000083yBz2AI,AGR-0090,Signed_Date__c,2026-02-26,,Sign,2026-06-22-clear-signed-date-noncompleted.py,2026-06-22T11:29:17.690023
UPDATE,a0BWR0000083yFX2AY,AGR-0310,Signed_Date__c,2024-03-20,,Paused,2026-06-22-clear-signed-date-noncompleted.py,2026-06-22T11:29:17.690031
UPDATE,a0BWR0000083yGv2AI,AGR-0396,Signed_Date__c,2026-03-11,,Cancelled,2026-06-22-clear-signed-date-noncompleted.py,2026-06-22T11:29:17.690039
UPDATE,a0BWR0000083yKL2AY,AGR-0508,Signed_Date__c,2024-05-06,,Cancelled,2026-06-22-clear-signed-date-noncompleted.py,2026-06-22T11:29:17.690048
UPDATE,a0BWR0000083yU12AI,AGR-0908,Signed_Date__c,2026-01-16,,Cancelled,2026-06-22-clear-signed-date-noncompleted.py,2026-06-22T11:29:17.690061
UPDATE,a0BWR0000083yXM2AY,AGR-1115,Signed_Date__c,2026-02-09,,Cancelled,2026-06-22-clear-signed-date-noncompleted.py,2026-06-22T11:29:17.690069
UPDATE,a0BWR0000083yYK2AY,AGR-1175,Signed_Date__c,2026-04-17,,Sign,2026-06-22-clear-signed-date-noncompleted.py,2026-06-22T11:29:17.690078
UPDATE,a0BWR0000083yak2AA,AGR-1325,Signed_Date__c,2025-07-29,,Cancelled,2026-06-22-clear-signed-date-noncompleted.py,2026-06-22T11:29:17.690086
UPDATE,a0BWR000008WSUP2A4,AGR-1454,Signed_Date__c,2024-11-05,,Review,2026-06-22-clear-signed-date-noncompleted.py,2026-06-22T11:29:17.690093
