Id,Name,object,action,detail
a0EWR00000Arj7h2AB,Omaha_MDU_302 N 48th St,Opportunity_Contact__c,deleted,contact 003WR00001UfZ9kYAF role Broker
003WR00001UfZ9kYAF,Pro Properties,Contact,deleted,email=None title=RE Agent company name parsed as a person
