SF_Id,Agreement_Name,Field,Before,After,Source,Action,Timestamp
a0BWR0000083yBp2AI,AGR-0080,Status__c,Review,Review,ironclad_export_2026-04-29 (IC-1359),PREVIEW,2026-05-05T10:05:55.071290
a0BWR0000083yBp2AI,AGR-0080,Signed_Date__c,,2025-09-05,ironclad_export_2026-04-29 (IC-1359),PREVIEW,2026-05-05T10:05:55.071312
a0BWR0000083yGv2AI,AGR-0396,Status__c,Cancelled,Cancelled,ironclad_export_2026-04-29 (IC-2154),PREVIEW,2026-05-05T10:05:55.071325
a0BWR0000083yGv2AI,AGR-0396,Signed_Date__c,,2026-03-11,ironclad_export_2026-04-29 (IC-2154),PREVIEW,2026-05-05T10:05:55.071336
a0BWR000008bmnR2AQ,AGR-1549,Status__c,Sign,Completed,ironclad_export_2026-04-29 (IC-2928),PREVIEW,2026-05-05T10:05:55.071345
a0BWR000008bmnR2AQ,AGR-1549,Signed_Date__c,2026-05-04,2026-05-05,ironclad_export_2026-04-29 (IC-2928),PREVIEW,2026-05-05T10:05:55.071354
