Id,Name,Circuit_ID__c,Unit__c,Activated__c,Address_Activation_Date__c,Address_Deactivated__c,Import_DateTime__c,Parent_Business_Base_Address
a02WR00000FcMYIYA3,1121 CARPENTER ST AZLE TX 76020,TX0601-010000064A,,No,,No,2025-10-06T18:04:52.000+0000,1121 CARPENTER ST AZLE TX
a02WR00000FcMYPYA3,1121 SHADOW RIDGE DR AZLE TX 76020,TX0601-011000022A,,No,,No,2025-10-06T18:04:52.000+0000,1121 SHADOW RIDGE DR AZLE TX
a02WR00000FcMYRYA3,1121 WOODRIDGE DR AZLE TX 76020,TX0601-011000001A,,No,,No,2025-10-06T18:04:52.000+0000,1121 WOODRIDGE DR AZLE TX
a02WR00000FcMYYYA3,1123 MELODY LN KELLER TX 76262,TX0603-002000126A,,No,,No,2025-10-06T18:04:52.000+0000,1123 MELODY LN KELLER TX
a02WR00000FcMYaYAN,1124 LAKE RIDGE DR AZLE TX 76020,TX0601-011000008A,,No,,No,2025-10-06T18:04:52.000+0000,1124 LAKE RIDGE DR AZLE TX
a02WR00000FcMYbYAN,1124 WILLOW RIDGE DR AZLE TX 76020,TX0601-011000003A,,No,,No,2025-10-06T18:04:52.000+0000,1124 WILLOW RIDGE DR AZLE TX
a02WR00000FcMYcYAN,1124 WOODRIDGE DR AZLE TX 76020,TX0601-011000019A,,No,,No,2025-10-06T18:04:52.000+0000,1124 WOODRIDGE DR AZLE TX
a02WR00000FcMYgYAN,1125 LAKE RIDGE DR AZLE TX 76020,TX0601-011000021A,,No,,No,2025-10-06T18:04:52.000+0000,1125 LAKE RIDGE DR AZLE TX
a02WR00000FcMYrYAN,1125 WOODRIDGE DR AZLE TX 76020,TX0601-011000020A,,No,,No,2025-10-06T18:04:52.000+0000,1125 WOODRIDGE DR AZLE TX
a02WR00000FcMYsYAN,1126 MELODY LN KELLER TX 76262,TX0603-002000153A,,No,,No,2025-10-06T18:04:52.000+0000,1126 MELODY LN KELLER TX
a02WR00000FcMYvYAN,1128 WILLOW RIDGE DR AZLE TX 76020,TX0601-011000017A,,No,,No,2025-10-06T18:04:52.000+0000,1128 WILLOW RIDGE DR AZLE TX
a02WR00000FcMYwYAN,1128 WOODRIDGE DR AZLE TX 76020,TX0601-011000014A,,No,,No,2025-10-06T18:04:52.000+0000,1128 WOODRIDGE DR AZLE TX
a02WR00000FcMYyYAN,1129 LAKE RIDGE DR AZLE TX 76020,TX0601-011000010A,,No,,No,2025-10-06T18:04:52.000+0000,1129 LAKE RIDGE DR AZLE TX
a02WR00000FcMZ2YAN,1129 WILLOW RIDGE DR AZLE TX 76020,TX0601-011000002A,,No,,No,2025-10-06T18:04:52.000+0000,1129 WILLOW RIDGE DR AZLE TX
a02WR00000FcMZKYA3,113 N ASH AVE AZLE TX 76020,TX0601-010000055A,,No,,No,2025-10-06T18:04:52.000+0000,113 N ASH AVE AZLE TX
a02WR00000FcMZdYAN,1131 MELODY LN KELLER TX 76262,TX0603-002000107A,,No,,No,2025-10-06T18:04:52.000+0000,1131 MELODY LN KELLER TX
a02WR00000FcMZfYAN,1132 MELODY LN KELLER TX 76262,TX0603-002000131A,,No,,No,2025-10-06T18:04:52.000+0000,1132 MELODY LN KELLER TX
a02WR00000FcMZgYAN,1132 PINE RIDGE DR AZLE TX 76020,TX0601-011000026A,,No,,No,2025-10-06T18:04:52.000+0000,1132 PINE RIDGE DR AZLE TX
a02WR00000FcMZiYAN,1133 PINE RIDGE DR AZLE TX 76020,TX0601-011000023A,,No,,No,2025-10-06T18:04:52.000+0000,1133 PINE RIDGE DR AZLE TX
a02WR00000FcMZpYAN,1133 WILLOW RIDGE DR AZLE TX 76020,TX0601-011000007A,,No,,No,2025-10-06T18:04:52.000+0000,1133 WILLOW RIDGE DR AZLE TX
a02WR00000FcMZtYAN,1135 MELODY LN KELLER TX 76262,TX0603-002000151A,,No,,No,2025-10-06T18:04:52.000+0000,1135 MELODY LN KELLER TX
a02WR00000FcMaKYAV,4557 KELLER HASLET RD FORT WORTH TX 76244,TX0605-012000231A,,No,,No,2025-10-06T18:04:52.000+0000,4557 KELLER HASLET RD FORT WORTH TX
a02WR00000FcMaLYAV,4558 KELLER HICKS RD FORT WORTH TX 76244,TX0606-016000147A,,No,,No,2025-10-06T18:04:52.000+0000,4558 KELLER HICKS RD FORT WORTH TX
a02WR00000FcMarYAF,4613 N 55TH ST UNIT 1 OMAHA NE 68104,NE0102-004000014A,UNIT 1,No,,No,2025-10-06T18:04:52.000+0000,4613 N 55TH ST OMAHA NE
a02WR00000FcMbkYAF,4701 KELLER HASLET RD FORT WORTH TX 76244,TX0605-012000223A,,No,,No,2025-10-06T18:04:52.000+0000,4701 KELLER HASLET RD FORT WORTH TX
a02WR00000FcMbrYAF,4716 KELLER HASLET RD FORT WORTH TX 76244,TX0605-012000226A,,No,,No,2025-10-06T18:04:52.000+0000,4716 KELLER HASLET RD FORT WORTH TX
a02WR00000FcMcfYAF,4801 RAY WHITE RD FORT WORTH TX 76244,TX0607-018000180A,,No,,No,2025-10-06T18:04:52.000+0000,4801 RAY WHITE RD FORT WORTH TX
a02WR00000FcMdGYAV,1136 MELODY LN KELLER TX 76262,TX0603-002000114A,,No,,No,2025-10-06T18:04:52.000+0000,1136 MELODY LN KELLER TX
a02WR00000FcMdHYAV,1136 PINE RIDGE DR AZLE TX 76020,TX0601-011000024A,,No,,No,2025-10-06T18:04:52.000+0000,1136 PINE RIDGE DR AZLE TX
a02WR00000FcMdKYAV,1137 PINE RIDGE DR AZLE TX 76020,TX0601-011000025A,,No,,No,2025-10-06T18:04:52.000+0000,1137 PINE RIDGE DR AZLE TX
a02WR00000FcMdPYAV,1139 MELODY LN KELLER TX 76262,TX0603-002000140A,,No,,No,2025-10-06T18:04:52.000+0000,1139 MELODY LN KELLER TX
a02WR00000FcMdsYAF,1143 MELODY LN KELLER TX 76262,TX0603-002000149A,,No,,No,2025-10-06T18:04:52.000+0000,1143 MELODY LN KELLER TX
a02WR00000FcMegYAF,1150 RANDOL MILL RD KELLER TX 76262,TX0603-021000123A,,No,,No,2025-10-06T18:04:52.000+0000,1150 RANDOL MILL RD KELLER TX
a02WR00000FcMf7YAF,116 HARMONSON AVE JUSTIN TX 76247,TX0602-021000142A,,No,,No,2025-10-06T18:04:52.000+0000,116 HARMONSON AVE JUSTIN TX
a02WR00000FcMg1YAF,117 N ASH AVE AZLE TX 76020,TX0601-010000089A,,No,,No,2025-10-06T18:04:52.000+0000,117 N ASH AVE AZLE TX
a02WR00000FcMi7YAF,500 SCHOOLHOUSE RD HASLET TX 76052,TX0602-034000194A,,No,,No,2025-10-06T18:04:52.000+0000,500 SCHOOLHOUSE RD HASLET TX
a02WR00000FcMjMYAV,502 SCHOOLHOUSE RD HASLET TX 76052,TX0602-034000200A,,No,,No,2025-10-06T18:04:52.000+0000,502 SCHOOLHOUSE RD HASLET TX
a02WR00000FcMjPYAV,502 W 4TH ST JUSTIN TX 76247,TX0602-021000117A,,No,,No,2025-10-06T18:04:52.000+0000,502 W 4TH ST JUSTIN TX
a02WR00000FcMmCYAV,1200 GLENWOOD DR AZLE TX 76020,TX0601-012000016A,,No,,No,2025-10-06T18:04:52.000+0000,1200 GLENWOOD DR AZLE TX
a02WR00000FcMmTYAV,1200 MELODY LN KELLER TX 76262,TX0603-002000166A,,No,,No,2025-10-06T18:04:52.000+0000,1200 MELODY LN KELLER TX
a02WR00000FcMncYAF,504 N PINE ST ROANOKE TX 76262,TX0603-009000341A,,No,,No,2025-10-06T18:04:52.000+0000,504 N PINE ST ROANOKE TX
a02WR00000FcMngYAF,504 SCHOOLHOUSE RD HASLET TX 76052,TX0602-034000192A,,No,,No,2025-10-06T18:04:52.000+0000,504 SCHOOLHOUSE RD HASLET TX
a02WR00000FcMokYAF,508 DUNAWAY LN AZLE TX 76020,TX0601-010000063A,,No,,No,2025-10-06T18:04:52.000+0000,508 DUNAWAY LN AZLE TX
